molecule,time_window,ae_term,k,log_or,se,z,pval,ci_lb,ci_ub,tau2,I2,QE,QEp,or,or_ci_lb,or_ci_ub,stars,pval_fmt,QEp_fmt,status,log_or_ci,or_ci
AYAHUASCA,session,anxiety,2,-0.3724251821383129,1.537060566203433,-0.2422970117945383,0.8085500290462433,-3.3850085339537843,2.640158169677159,3.6514600359200116,76.43400347940756,4.243402137169036,0.039403132244632495,0.6890612037151793,0.033877353236673846,14.015420246922142,,0.809,0.039,ok,"-0.372 [-3.385, 2.640]","0.69 [0.03, 14.02]"
AYAHUASCA,session,confusion,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
AYAHUASCA,session,diarrhea,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
AYAHUASCA,session,dissociation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
AYAHUASCA,session,distress,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
AYAHUASCA,session,drowsiness,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
AYAHUASCA,session,headache,2,-0.13534681759964992,0.9798761773039387,-0.13812644978475475,0.8901404822260746,-2.055868834424154,1.7851751992248541,1.0659190342732394,54.56079410595212,2.200742685362357,0.1379442619511363,0.8734129441730368,0.12798159244542393,5.960624152839165,,0.890,0.138,ok,"-0.135 [-2.056, 1.785]","0.87 [0.13, 5.96]"
AYAHUASCA,session,hypertension,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
AYAHUASCA,session,nausea,2,0.9125987485576463,1.0738301018341605,0.8498539452366606,0.39540629331929233,-1.1920695765522866,3.017267073667579,1.4930216593233778,64.5358554473093,2.819749390865059,0.09311094003668936,2.490787059185551,0.30359230593487896,20.435366947464665,,0.395,0.093,ok,"0.913 [-1.192, 3.017]","2.49 [0.30, 20.44]"
AYAHUASCA,session,restlessness,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,insufficient_k,,
