Molecule,Adverse event,Window,k,OR [95% CI],log(OR) [95% CI],p,Stars,τ²,I²,Q,p(Q),Status
AYAHUASCA,anxiety,session,2,"0.69 [0.03, 14.02]","-0.372 [-3.385, 2.640]",0.809,,3.6514600359200116,76.43400347940756,4.243402137169036,0.039,ok
AYAHUASCA,confusion,session,1,,,,,NA,NA,NA,,insufficient_k
AYAHUASCA,diarrhea,session,1,,,,,NA,NA,NA,,insufficient_k
AYAHUASCA,dissociation,session,1,,,,,NA,NA,NA,,insufficient_k
AYAHUASCA,distress,session,1,,,,,NA,NA,NA,,insufficient_k
AYAHUASCA,drowsiness,session,1,,,,,NA,NA,NA,,insufficient_k
AYAHUASCA,headache,session,2,"0.87 [0.13, 5.96]","-0.135 [-2.056, 1.785]",0.890,,1.0659190342732394,54.56079410595212,2.200742685362357,0.138,ok
AYAHUASCA,hypertension,session,1,,,,,NA,NA,NA,,insufficient_k
AYAHUASCA,nausea,session,2,"2.49 [0.30, 20.44]","0.913 [-1.192, 3.017]",0.395,,1.4930216593233778,64.5358554473093,2.819749390865059,0.093,ok
AYAHUASCA,restlessness,session,1,,,,,NA,NA,NA,,insufficient_k
AYAHUASCA,tachycardia,session,1,,,,,NA,NA,NA,,insufficient_k
AYAHUASCA,vomiting,session,2,"1.48 [0.21, 10.38]","0.395 [-1.549, 2.339]",0.690,,1.1686011017958424,58.87488485387112,2.4316041339865544,0.119,ok
LSD,Balance_disorder,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,Fatigue,follow_up,4,"2.89 [0.55, 15.22]","1.061 [-0.601, 2.723]",0.211,,0,0,0.413400444696687,0.937,ok
LSD,Mydriasis,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,Pseudo_hallucination,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,Tremor,follow_up,4,"1.42 [0.22, 9.16]","0.354 [-1.508, 2.215]",0.710,,0,0,0.30591486683215174,0.959,ok
LSD,Vomiting,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,accident with fracture,follow_up,1,,,,,NA,NA,NA,,insufficient_k
LSD,altered state of consciousness,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,anxiety,follow_up,4,"4.22 [0.84, 21.27]","1.441 [-0.175, 3.057]",0.081,,0,0,0.8522489589035378,0.837,ok
LSD,attention disturbance,follow_up,6,"7.95 [2.13, 29.65] **","2.073 [0.757, 3.389] **",0.002,**,0.5368290331421096,19.812770081533117,5.747280566351543,0.332,ok
LSD,depressed mood,follow_up,4,"4.21 [0.84, 21.19]","1.437 [-0.179, 3.054]",0.081,,0,0,0.8210611081417892,0.844,ok
LSD,depression,follow_up,1,,,,,NA,NA,NA,,insufficient_k
LSD,dizziness,follow_up,5,"1.59 [0.35, 7.16]","0.464 [-1.040, 1.969]",0.545,,0,0,0.5511527017444418,0.968,ok
LSD,emotional distress,follow_up,4,"1.42 [0.22, 9.16]","0.354 [-1.508, 2.215]",0.710,,0,0,0.3059148668321517,0.959,ok
LSD,euphoric mood,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,fatigue,follow_up,2,"14.21 [3.13, 64.43] ***","2.654 [1.142, 4.166] ***",<0.001,***,0,0,0,1.000,ok
LSD,feeling abnormal,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,hallucination visual,follow_up,4,"1.43 [0.22, 9.19]","0.356 [-1.505, 2.218]",0.707,,0,0,0.3246810399190461,0.955,ok
LSD,headache,follow_up,6,"10.70 [3.65, 31.38] ***","2.371 [1.295, 3.446] ***",<0.001,***,0,0,1.7451413631234165,0.883,ok
LSD,hypertension,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,illusion,follow_up,4,"2.46 [0.46, 13.28]","0.900 [-0.786, 2.587]",0.295,,0,0,0.25880234216902903,0.968,ok
LSD,impaired gait,follow_up,1,,,,,NA,NA,NA,,insufficient_k
LSD,lack of appetite,follow_up,4,"2.31 [0.41, 13.17]","0.839 [-0.900, 2.578]",0.345,,0,0,0.6414389839617336,0.887,ok
LSD,nausea,follow_up,5,"2.20 [0.53, 9.12]","0.790 [-0.630, 2.210]",0.275,,0,0,0.650431091963658,0.957,ok
LSD,panic_attack,follow_up,1,,,,,NA,NA,NA,,insufficient_k
LSD,paresthesia,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,perspiration,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,temperature perception disturbances,follow_up,4,"1.42 [0.22, 9.16]","0.354 [-1.508, 2.215]",0.710,,0,0,0.30591486683215163,0.959,ok
LSD,thinking abnormal,follow_up,4,"1.42 [0.22, 9.16]","0.354 [-1.508, 2.215]",0.710,,0,0,0.30591486683215174,0.959,ok
LSD,ADHD_exacerbation,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,Balance_disorder,session,4,"0.81 [0.32, 2.03]","-0.216 [-1.139, 0.708]",0.647,,0,0,1.912501348429598,0.591,ok
LSD,COVID19,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,Fatigue,session,4,"1.15 [0.50, 2.61]","0.138 [-0.684, 0.959]",0.743,,0,0,1.1156402574032296,0.773,ok
LSD,Mydriasis,session,4,"1.77 [0.80, 3.93]","0.573 [-0.221, 1.367]",0.157,,5.156438817466387e-7,7.587548759705972e-5,3.052151671089371,0.384,ok
LSD,Pseudo_hallucination,session,4,"0.90 [0.37, 2.21]","-0.103 [-1.001, 0.795]",0.822,,2.125353049578756e-6,2.4130308023841523e-4,1.8343098141204817,0.607,ok
LSD,Tremor,session,4,"1.05 [0.36, 3.03]","0.047 [-1.012, 1.107]",0.930,,0.3004558739132996,25.482783722513577,4.224245520162409,0.238,ok
LSD,Vomiting,session,4,"0.80 [0.31, 2.04]","-0.226 [-1.162, 0.711]",0.637,,0,0,2.4991932668789634,0.475,ok
LSD,affect liability,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,altered perception of music,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,altered state of consciousness,session,4,"0.54 [0.16, 1.90]","-0.609 [-1.858, 0.640]",0.339,,0.4186255099105972,25.213130686795132,3.4919376794144585,0.322,ok
LSD,anemia,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,anger,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,anxiety,session,7,"1.02 [0.51, 2.05]","0.021 [-0.678, 0.720]",0.953,,0,0,3.184713656278019,0.785,ok
LSD,anxiety_worsening,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,attention disturbance,session,5,"0.47 [0.13, 1.72]","-0.760 [-2.060, 0.539]",0.252,,0.5643530041714958,25.416885142634445,4.232076046099822,0.376,ok
LSD,bradyphrenia,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,chills,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,depersonalization,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,depressed mood,session,4,"0.63 [0.24, 1.70]","-0.457 [-1.447, 0.533]",0.366,,0,0,1.938420799681293,0.585,ok
LSD,depression,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,depression_worsening,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,derealization,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,dizziness,session,6,"1.00 [0.57, 1.77]","0.002 [-0.566, 0.571]",0.994,,0,0,2.124869219546725,0.832,ok
LSD,emotional distress,session,5,"0.70 [0.26, 1.85]","-0.360 [-1.334, 0.614]",0.469,,2.3693088583583975e-7,1.8087097857311435e-5,4.097601950136996,0.393,ok
LSD,euphoric mood,session,4,"2.08 [0.97, 4.44]","0.733 [-0.026, 1.491]",0.058,,1.692702890142686e-8,2.7844540661539442e-6,2.853406261910735,0.415,ok
LSD,fatigue,session,2,"0.38 [0.12, 1.23]","-0.977 [-2.159, 0.205]",0.105,,0,0,3.848632516632701e-4,0.984,ok
LSD,feeling abnormal,session,5,"0.49 [0.16, 1.51]","-0.704 [-1.818, 0.410]",0.216,,1.9112323391201314e-7,1.1219386744561124e-5,5.442656637658044,0.245,ok
LSD,feeling of relaxation,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,feeling_intoxicated,session,2,"0.31 [0.06, 1.59]","-1.166 [-2.798, 0.467]",0.162,,0,0,2.4321641999489705e-4,0.988,ok
LSD,femur fracture,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,hallucination,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,hallucination visual,session,4,"2.77 [1.36, 5.65] **","1.019 [0.306, 1.732] **",0.005,**,0,0,0.4399519971221445,0.932,ok
LSD,headache,session,8,"1.40 [0.64, 3.06]","0.338 [-0.441, 1.118]",0.395,,0.6102240874687193,51.04772913815128,13.808996949142431,0.055,ok
LSD,hypertension,session,4,"1.34 [0.61, 2.94]","0.292 [-0.494, 1.079]",0.467,,0,0,0.22157386003465956,0.974,ok
LSD,illusion,session,4,"13.50 [6.13, 29.73] ***","2.603 [1.813, 3.392] ***",<0.001,***,0.17339214758907445,26.71735313409292,4.134328602410906,0.247,ok
LSD,illusions,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,impaired gait,session,3,"1.20 [0.57, 2.53]","0.184 [-0.560, 0.928]",0.628,,0,0,1.4980825069869061,0.473,ok
LSD,lack of appetite,session,4,"0.36 [0.12, 1.11]","-1.026 [-2.159, 0.106]",0.076,,0,0,0.8384044349891788,0.840,ok
LSD,menorrhagia,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,mydriasis,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,nausea,session,5,"4.19 [1.48, 11.83] **","1.432 [0.393, 2.470] **",0.007,**,0.8567603029261076,61.299475184922095,10.196593021608692,0.037,ok
LSD,neoplasm progression,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,palmar-plantar erythrodysaesthesia syndrome,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,paresthesia,session,4,"1.09 [0.43, 2.73]","0.083 [-0.839, 1.005]",0.860,,0.12454859493645279,13.912345982969017,2.9519132202369427,0.399,ok
LSD,perseveration,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,perspiration,session,5,"1.69 [0.78, 3.68]","0.525 [-0.254, 1.304]",0.186,,0,0,3.195418632152751,0.526,ok
LSD,pneumonia,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,pruritus,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,serious ae,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,skin lesion,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,sleep disorder,session,2,"0.33 [0.13, 0.81] *","-1.105 [-2.003, -0.207] *",0.016,*,0,0,0.08267637237827062,0.774,ok
LSD,tachyphrenia,session,1,,,,,NA,NA,NA,,insufficient_k
LSD,temperature perception disturbances,session,5,"0.66 [0.16, 2.80]","-0.413 [-1.858, 1.031]",0.575,,1.08606311022328,40.83464411829293,7.1893150007580235,0.126,ok
LSD,thinking abnormal,session,5,"1.02 [0.44, 2.36]","0.018 [-0.822, 0.858]",0.966,,0,0,1.837145176530325,0.766,ok
LSD,time perception altered,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,anxiety,follow_up,4,"4.93 [1.75, 13.95] **","1.596 [0.557, 2.635] **",0.003,**,0,0,2.311999562580352,0.510,ok
MDMA,autonomic,follow_up,2,"0.75 [0.16, 3.45]","-0.283 [-1.805, 1.238]",0.715,,0,0,0.7719009161656354,0.380,ok
MDMA,decreased concentration,follow_up,3,"1.83 [0.59, 5.70]","0.604 [-0.532, 1.741]",0.297,,0,0,0.04988989255754542,0.975,ok
MDMA,depression,follow_up,3,"2.91 [0.94, 9.00]","1.067 [-0.063, 2.197]",0.064,,0,0,1.9242082095231656,0.382,ok
MDMA,dissociation,follow_up,1,,,,,NA,NA,NA,,insufficient_k
MDMA,dizziness,follow_up,2,"1.73 [0.43, 6.99]","0.550 [-0.845, 1.944]",0.440,,0,0,0.03675247121073725,0.848,ok
MDMA,fatigue,follow_up,4,"11.85 [3.98, 35.28] ***","2.472 [1.381, 3.563] ***",<0.001,***,0,0,1.0108950031417305,0.799,ok
MDMA,headache,follow_up,4,"2.18 [0.79, 6.01]","0.781 [-0.230, 1.793]",0.130,,0,0,0.3354893012827576,0.953,ok
MDMA,infectious,follow_up,1,,,,,NA,NA,NA,,insufficient_k
MDMA,irritability,follow_up,3,"2.08 [0.58, 7.48]","0.731 [-0.550, 2.012]",0.263,,0,0,0.594267091474497,0.743,ok
MDMA,jaw tension,follow_up,2,"1.38 [0.34, 5.62]","0.320 [-1.086, 1.726]",0.655,,0,0,0.2591261746693648,0.611,ok
MDMA,lack of appetite,follow_up,4,"1.58 [0.55, 4.50]","0.455 [-0.594, 1.505]",0.395,,0,0,2.2487858939531464,0.522,ok
MDMA,muscle tension,follow_up,3,"1.98 [0.52, 7.44]","0.681 [-0.645, 2.007]",0.314,,0,0,0.8902765729948003,0.641,ok
MDMA,nausea,follow_up,2,"1.08 [0.26, 4.55]","0.074 [-1.365, 1.514]",0.919,,0,0,0.5699807682622494,0.450,ok
MDMA,ophthalmological,follow_up,2,"0.25 [0.04, 1.70]","-1.370 [-3.267, 0.528]",0.157,,0,0,0.6494399761265087,0.420,ok
MDMA,pain,follow_up,1,,,,,NA,NA,NA,,insufficient_k
MDMA,perspiration,follow_up,1,,,,,NA,NA,NA,,insufficient_k
MDMA,restlessness,follow_up,2,"0.65 [0.14, 3.02]","-0.435 [-1.974, 1.105]",0.580,,0,0,0.6099180566873896,0.435,ok
MDMA,rumination,follow_up,2,"1.44 [0.35, 5.88]","0.364 [-1.043, 1.771]",0.612,,0,0,6.191404305651104e-4,0.980,ok
MDMA,sleep disorder,follow_up,8,"3.83 [1.83, 8.04] ***","1.344 [0.603, 2.085] ***",<0.001,***,0,0,5.8481625879067805,0.558,ok
MDMA,weakness,follow_up,2,"1.08 [0.26, 4.55]","0.074 [-1.365, 1.514]",0.919,,0,0,0.5699807682622494,0.450,ok
MDMA,xerostomia,follow_up,2,"0.54 [0.11, 2.60]","-0.608 [-2.171, 0.956]",0.446,,0,0,0.4473336534607459,0.504,ok
MDMA,abdominal discomfort,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,abdominal pain,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,abdominal pain upper,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,anxiety,session,13,"4.27 [2.29, 7.97] ***","1.451 [0.828, 2.075] ***",<0.001,***,0,0,9.10864977553071,0.694,ok
MDMA,arthralgia,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,attention disturbance,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,autonomic,session,5,"3.87 [0.94, 15.84]","1.353 [-0.057, 2.763]",0.060,,1.5097979232738854,58.44929203245396,9.612032394119064,0.047,ok
MDMA,back pain,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,binge eating,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,bruxism,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,chest discomfort,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,chills,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,covid-19,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,decreased appetite,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,decreased concentration,session,4,"1.09 [0.36, 3.28]","0.084 [-1.021, 1.188]",0.882,,0,0,2.2006460524150047,0.532,ok
MDMA,depressed mood,session,1,,,,,NA,NA,NA,,insufficient_k
MDMA,depression,session,6,"1.28 [0.47, 3.48]","0.244 [-0.758, 1.246]",0.633,,0.18791937882991872,11.959925063903471,5.503788156501037,0.358,ok
MDMA,diarrhea,session,1,,,,,NA,NA,NA,,insufficient_k
