molecule,ae_term,model,df_spline,k,beta,pval,p_adj_bh_global,p_adj_bh_by_mol,sig_p05,sig_fdr_global05,sig_fdr_mol05
LSD,attention disturbance,linear,NA,6,-0.017927378148636416,0.06714010896829299,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
MDMA,dizziness,linear,NA,3,0.05071185538370958,0.1799722370286339,0.994916718778237,0.8062717342721938,FALSE,FALSE,FALSE
MDMA,rumination,linear,NA,3,0.04699914727701087,0.21457499604580865,0.994916718778237,0.8062717342721938,FALSE,FALSE,FALSE
MDMA,jaw tension,linear,NA,3,0.04611996445993521,0.22323733251870223,0.994916718778237,0.8062717342721938,FALSE,FALSE,FALSE
MDMA,irritability,linear,NA,4,0.02717203666982731,0.26875724475739793,0.994916718778237,0.8062717342721938,FALSE,FALSE,FALSE
LSD,headache,linear,NA,6,-0.008709623045529078,0.3068090095493493,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,lack of appetite,linear,NA,4,0.009767173625227865,0.44902053755482163,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
MDMA,lack of appetite,linear,NA,5,0.01681190500776712,0.45605361838654046,0.994916718778237,0.8933287533168814,FALSE,FALSE,FALSE
MDMA,anxiety,linear,NA,5,0.016899286199692966,0.5154992249153807,0.994916718778237,0.8933287533168814,FALSE,FALSE,FALSE
LSD,nausea,linear,NA,5,0.0059814312570347136,0.5319102784817853,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
MDMA,sleep disorder,linear,NA,10,0.009305249127454732,0.555266240861763,0.994916718778237,0.8933287533168814,FALSE,FALSE,FALSE
MDMA,weakness,linear,NA,3,0.018435641896683445,0.5955525022112543,0.994916718778237,0.8933287533168814,FALSE,FALSE,FALSE
LSD,anxiety,linear,NA,4,-0.006206932852243227,0.6044195449548717,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,emotional distress,linear,NA,4,0.006833620686520388,0.6073550331696943,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,dizziness,linear,NA,5,-0.005596485489350033,0.6153856281086403,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,depressed mood,linear,NA,4,0.005735648702612105,0.6379692608720713,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,illusion,linear,NA,4,-0.006378885244349277,0.6479879376056239,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,hallucination visual,linear,NA,4,-0.005235706113263997,0.7127053761499513,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
MDMA,decreased concentration,linear,NA,4,-0.009886206060888345,0.7371688554647763,0.994916718778237,0.9748458455375496,FALSE,FALSE,FALSE
LSD,temperature perception disturbances,linear,NA,4,-0.00355600234938777,0.8085434819748505,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
MDMA,headache,linear,NA,5,-0.00414066555031418,0.8432747927052008,0.994916718778237,0.9748458455375496,FALSE,FALSE,FALSE
LSD,Fatigue,linear,NA,4,0.0015314231200029302,0.9049066972617128,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
MDMA,muscle tension,linear,NA,3,0.001631617944698448,0.9539325529403482,0.994916718778237,0.9748458455375496,FALSE,FALSE,FALSE
MDMA,fatigue,linear,NA,5,-7.609404803356479e-4,0.9748458455375496,0.994916718778237,0.9748458455375496,FALSE,FALSE,FALSE
LSD,thinking abnormal,linear,NA,4,4.216796352312345e-4,0.9775821636306836,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,Tremor,linear,NA,4,4.216796352312345e-4,0.9775821636306836,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,altered state of consciousness,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,Balance_disorder,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,euphoric mood,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,feeling abnormal,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,hypertension,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,Mydriasis,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,paresthesia,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,perspiration,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,Pseudo_hallucination,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,Vomiting,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
