ae_term,molecule,k_linear,beta_linear,p_linear,stars_linear,dir_linear,spline_model,df_spline,k_spline,QM_spline,p_spline,stars_spline,sig_linear,sig_spline,robustness
Balance_disorder,LSD,4,-9.564996728822301e-5,0.994916718778237,,negative,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
Fatigue,LSD,4,0.0015314231200029302,0.9049066972617128,,positive,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
Mydriasis,LSD,4,-9.564996728822301e-5,0.994916718778237,,negative,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
Pseudo_hallucination,LSD,4,-9.564996728822301e-5,0.994916718778237,,negative,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
Tremor,LSD,4,4.216796352312345e-4,0.9775821636306836,,positive,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
Vomiting,LSD,4,-9.564996728822301e-5,0.994916718778237,,negative,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
altered state of consciousness,LSD,4,-9.564996728822301e-5,0.994916718778237,,negative,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
anxiety,LSD,4,-0.006206932852243227,0.6044195449548717,,negative,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
attention disturbance,LSD,6,-0.01792650201118854,0.06711142243555718,,negative,spline_df3,3,6,5.322554134251679,0.1496455643804402,,FALSE,FALSE,neither_significant
depressed mood,LSD,4,0.005735648702612105,0.6379692608720713,,positive,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
dizziness,LSD,5,-0.005596622174557439,0.6153346008566909,,negative,spline_df3,3,5,0.5332498678775778,0.9115281389382124,,FALSE,FALSE,neither_significant
emotional distress,LSD,4,0.006833620686520388,0.6073550331696943,,positive,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
euphoric mood,LSD,4,-9.564996728822301e-5,0.994916718778237,,negative,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
feeling abnormal,LSD,4,-9.564996728822301e-5,0.994916718778237,,negative,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
hallucination visual,LSD,4,-0.005235706113263997,0.7127053761499513,,negative,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
headache,LSD,6,-0.008709225380122521,0.30676463959912725,,negative,spline_df3,3,6,1.7365686504261155,0.6288345835686175,,FALSE,FALSE,neither_significant
hypertension,LSD,4,-9.564996728822301e-5,0.994916718778237,,negative,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
illusion,LSD,4,-0.006378885244349277,0.6479879376056239,,negative,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
lack of appetite,LSD,4,0.009767173625227865,0.44902053755482163,,positive,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
nausea,LSD,5,0.005980323502089846,0.5319434252809179,,positive,spline_df3,3,5,0.6504125254006392,0.8848006610652878,,FALSE,FALSE,neither_significant
paresthesia,LSD,4,-9.564996728822301e-5,0.994916718778237,,negative,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
perspiration,LSD,4,-9.564996728822301e-5,0.994916718778237,,negative,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
temperature perception disturbances,LSD,4,-0.00355600234938777,0.8085434819748505,,negative,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
thinking abnormal,LSD,4,4.216796352312345e-4,0.9775821636306836,,positive,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
anxiety,MDMA,5,0.007221471196319296,0.7546972377754744,,positive,spline_df3,3,5,1.0533465615939324,0.7883466322600264,,FALSE,FALSE,neither_significant
decreased concentration,MDMA,4,-0.0034242135782789054,0.9249605595982626,,negative,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
depression,MDMA,3,0.038328155962804554,0.4987731402516879,,positive,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
dizziness,MDMA,3,0.03736767464222785,0.3986508717602901,,positive,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
fatigue,MDMA,5,-0.0017611314995212655,0.9415011062372899,,negative,spline_df3,3,5,1.0429487709316905,0.7908611754994943,,FALSE,FALSE,neither_significant
headache,MDMA,5,-4.1350673254179036e-4,0.9830764260880203,,negative,spline_df3,3,5,0.4870726016323288,0.9217221862607495,,FALSE,FALSE,neither_significant
irritability,MDMA,4,0.018711726652183895,0.36642431455878444,,positive,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
jaw tension,MDMA,3,0.051764272097933946,0.2157771269583646,,positive,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
lack of appetite,MDMA,5,0.025501506408639442,0.23555776715084115,,positive,spline_df3,3,5,1.8800768480510412,0.5976662168189171,,FALSE,FALSE,neither_significant
muscle tension,MDMA,3,-0.006416905688085726,0.7712557910703643,,negative,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
rumination,MDMA,3,0.038213472601003586,0.3722399752716421,,positive,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
sleep disorder,MDMA,10,5.570410268882289e-5,0.9969403665413271,,positive,spline_df3,3,10,0.8707214839977091,0.8324870138801395,,FALSE,FALSE,neither_significant
weakness,MDMA,3,0.03546011655613481,0.37268821431698895,,positive,NA,NA,NA,NA,NA,NA,FALSE,FALSE,neither_significant
