molecule,ae_term,model,df_spline,k,beta,pval,p_adj_bh_global,p_adj_bh_by_mol,sig_p05,sig_fdr_global05,sig_fdr_mol05
LSD,attention disturbance,linear,NA,6,-0.017927378148636416,0.06714010896829299,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
MDMA,lack of appetite,linear,NA,4,0.031444459030327235,0.2897170241045439,0.994916718778237,0.9539325529403482,FALSE,FALSE,FALSE
LSD,headache,linear,NA,6,-0.008709623045529078,0.3068090095493493,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,lack of appetite,linear,NA,4,0.009767173625227865,0.44902053755482163,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
MDMA,irritability,linear,NA,3,0.021051506670961565,0.4583625078571567,0.994916718778237,0.9539325529403482,FALSE,FALSE,FALSE
MDMA,fatigue,linear,NA,4,-0.023126210394793886,0.508944049212327,0.994916718778237,0.9539325529403482,FALSE,FALSE,FALSE
LSD,nausea,linear,NA,5,0.0059814312570347136,0.5319102784817853,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,anxiety,linear,NA,4,-0.006206932852243227,0.6044195449548717,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,emotional distress,linear,NA,4,0.006833620686520388,0.6073550331696943,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,dizziness,linear,NA,5,-0.005596485489350033,0.6153856281086403,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,depressed mood,linear,NA,4,0.005735648702612105,0.6379692608720713,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,illusion,linear,NA,4,-0.006378885244349277,0.6479879376056239,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,hallucination visual,linear,NA,4,-0.005235706113263997,0.7127053761499513,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,temperature perception disturbances,linear,NA,4,-0.00355600234938777,0.8085434819748505,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
MDMA,sleep disorder,linear,NA,8,-0.003282049507283377,0.8687226046398269,0.994916718778237,0.9539325529403482,FALSE,FALSE,FALSE
MDMA,anxiety,linear,NA,4,-0.004589987633008687,0.8755739594103965,0.994916718778237,0.9539325529403482,FALSE,FALSE,FALSE
MDMA,headache,linear,NA,4,0.003851276511262842,0.879723522866588,0.994916718778237,0.9539325529403482,FALSE,FALSE,FALSE
LSD,Fatigue,linear,NA,4,0.0015314231200029302,0.9049066972617128,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
MDMA,muscle tension,linear,NA,3,0.001631617944698448,0.9539325529403482,0.994916718778237,0.9539325529403482,FALSE,FALSE,FALSE
LSD,thinking abnormal,linear,NA,4,4.216796352312345e-4,0.9775821636306836,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,Tremor,linear,NA,4,4.216796352312345e-4,0.9775821636306836,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,altered state of consciousness,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,Balance_disorder,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,euphoric mood,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,feeling abnormal,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,hypertension,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,Mydriasis,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,paresthesia,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,perspiration,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,pseudohallucination,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,Vomiting,linear,NA,4,-9.564996728822301e-5,0.994916718778237,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
