molecule,ae_term,model,beta,pval,k,p_adj_bh_global,p_adj_bh_by_mol,sig_p05,sig_fdr_global05,sig_fdr_mol05
LSD,attention disturbance,linear,-0.017927378148636416,0.06714010896829299,6,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
MDMA,dizziness,linear,0.05071185538370958,0.1799722370286339,3,0.994916718778237,0.8062717342721938,FALSE,FALSE,FALSE
MDMA,rumination,linear,0.04699914727701087,0.21457499604580865,3,0.994916718778237,0.8062717342721938,FALSE,FALSE,FALSE
MDMA,jaw tension,linear,0.04611996445993521,0.22323733251870223,3,0.994916718778237,0.8062717342721938,FALSE,FALSE,FALSE
MDMA,irritability,linear,0.02717203666982731,0.26875724475739793,4,0.994916718778237,0.8062717342721938,FALSE,FALSE,FALSE
LSD,headache,linear,-0.008709623045529078,0.3068090095493493,6,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,lack of appetite,linear,0.009767173625227865,0.44902053755482163,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
MDMA,lack of appetite,linear,0.01681190500776712,0.45605361838654046,5,0.994916718778237,0.8933287533168814,FALSE,FALSE,FALSE
MDMA,anxiety,linear,0.016899286199692966,0.5154992249153807,5,0.994916718778237,0.8933287533168814,FALSE,FALSE,FALSE
LSD,nausea,linear,0.0059814312570347136,0.5319102784817853,5,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
MDMA,sleep disorder,linear,0.009305249127454732,0.555266240861763,10,0.994916718778237,0.8933287533168814,FALSE,FALSE,FALSE
MDMA,weakness,linear,0.018435641896683445,0.5955525022112543,3,0.994916718778237,0.8933287533168814,FALSE,FALSE,FALSE
LSD,anxiety,linear,-0.006206932852243227,0.6044195449548717,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,emotional distress,linear,0.006833620686520388,0.6073550331696943,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,dizziness,linear,-0.005596485489350033,0.6153856281086403,5,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,depressed mood,linear,0.005735648702612105,0.6379692608720713,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,illusion,linear,-0.006378885244349277,0.6479879376056239,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,hallucination visual,linear,-0.005235706113263997,0.7127053761499513,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
MDMA,decreased concentration,linear,-0.009886206060888345,0.7371688554647763,4,0.994916718778237,0.9748458455375496,FALSE,FALSE,FALSE
LSD,temperature perception disturbances,linear,-0.00355600234938777,0.8085434819748505,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
MDMA,headache,linear,-0.00414066555031418,0.8432747927052008,5,0.994916718778237,0.9748458455375496,FALSE,FALSE,FALSE
LSD,Fatigue,linear,0.0015314231200029302,0.9049066972617128,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
MDMA,muscle tension,linear,0.001631617944698448,0.9539325529403482,3,0.994916718778237,0.9748458455375496,FALSE,FALSE,FALSE
MDMA,fatigue,linear,-7.609404803356479e-4,0.9748458455375496,5,0.994916718778237,0.9748458455375496,FALSE,FALSE,FALSE
LSD,thinking abnormal,linear,4.216796352312345e-4,0.9775821636306836,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,Tremor,linear,4.216796352312345e-4,0.9775821636306836,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,altered state of consciousness,linear,-9.564996728822301e-5,0.994916718778237,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,Balance_disorder,linear,-9.564996728822301e-5,0.994916718778237,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,euphoric mood,linear,-9.564996728822301e-5,0.994916718778237,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,feeling abnormal,linear,-9.564996728822301e-5,0.994916718778237,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,hypertension,linear,-9.564996728822301e-5,0.994916718778237,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,Mydriasis,linear,-9.564996728822301e-5,0.994916718778237,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,paresthesia,linear,-9.564996728822301e-5,0.994916718778237,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,perspiration,linear,-9.564996728822301e-5,0.994916718778237,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,Pseudo_hallucination,linear,-9.564996728822301e-5,0.994916718778237,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
LSD,Vomiting,linear,-9.564996728822301e-5,0.994916718778237,4,0.994916718778237,0.994916718778237,FALSE,FALSE,FALSE
