Molecule,Adverse event,Window,k,OR [95% CI],log(OR) [95% CI],p,Stars,τ²,I²,Q,p(Q),Status
LSD,Balance_disorder,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,Fatigue,follow_up,4,"2.89 [0.55, 15.22]","1.061 [-0.601, 2.723]",0.211,,0,0,0.413400444696687,0.937,ok
LSD,Mydriasis,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,Pseudo_hallucination,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,Tremor,follow_up,4,"1.42 [0.22, 9.16]","0.354 [-1.508, 2.215]",0.710,,0,0,0.30591486683215174,0.959,ok
LSD,Vomiting,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,accident with fracture,follow_up,1,,,,,NA,NA,NA,,insufficient_k
LSD,altered state of consciousness,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
LSD,anxiety,follow_up,4,"4.22 [0.84, 21.27]","1.441 [-0.175, 3.057]",0.081,,0,0,0.8522489589035378,0.837,ok
LSD,attention disturbance,follow_up,6,"7.95 [2.13, 29.65] **","2.073 [0.757, 3.389] **",0.002,**,0.5368290331421096,19.812770081533117,5.747280566351543,0.332,ok
LSD,depressed mood,follow_up,4,"4.21 [0.84, 21.19]","1.437 [-0.179, 3.054]",0.081,,0,0,0.8210611081417892,0.844,ok
LSD,depression,follow_up,1,,,,,NA,NA,NA,,insufficient_k
LSD,dizziness,follow_up,5,"1.59 [0.35, 7.16]","0.464 [-1.040, 1.969]",0.545,,0,0,0.5511527017444418,0.968,ok
LSD,emotional distress,follow_up,4,"1.42 [0.22, 9.16]","0.354 [-1.508, 2.215]",0.710,,0,0,0.3059148668321517,0.959,ok
LSD,euphoric mood,follow_up,4,"0.98 [0.14, 7.05]","-0.019 [-1.991, 1.953]",0.985,,0,0,1.1573917738360238e-4,1.000,ok
