ae_term,molecule,k_total,QM,QMp,p_overall,stars
Balance_disorder,LSD,4,4.058953037634101e-5,0.994916718778237,0.994916718778237,
Fatigue,LSD,4,0.014271967689381335,0.9049066972617128,0.9049066972617128,
Mydriasis,LSD,4,4.058953037634101e-5,0.994916718778237,0.994916718778237,
Pseudo_hallucination,LSD,4,4.058953037634101e-5,0.994916718778237,0.994916718778237,
Tremor,LSD,4,7.896262380965832e-4,0.9775821636306837,0.9775821636306837,
Vomiting,LSD,4,4.058953037634101e-5,0.994916718778237,0.994916718778237,
altered state of consciousness,LSD,4,4.058953037634101e-5,0.994916718778237,0.994916718778237,
anxiety,LSD,4,0.2683815041841776,0.6044195449548716,0.6044195449548716,
anxiety,MDMA,5,0.09762608692013294,0.7546972377754743,0.7546972377754743,
attention disturbance,LSD,6,3.352294103259168,0.06711142243555691,0.06711142243555691,
decreased concentration,MDMA,4,0.008871203244339008,0.9249605595982626,0.9249605595982626,
depressed mood,LSD,4,0.2214078946499085,0.6379692608720713,0.6379692608720713,
depression,MDMA,3,0.45754589717351446,0.498773140251688,0.498773140251688,
dizziness,LSD,5,0.25247945780945424,0.6153346008566908,0.6153346008566908,
dizziness,MDMA,3,0.712391987914505,0.39865087176029007,0.39865087176029007,
emotional distress,LSD,4,0.26404451829980585,0.6073550331696943,0.6073550331696943,
euphoric mood,LSD,4,4.058953037634101e-5,0.994916718778237,0.994916718778237,
fatigue,MDMA,5,0.005385108754778281,0.7908611754994943,0.7908611754994943,
feeling abnormal,LSD,4,4.058953037634101e-5,0.994916718778237,0.994916718778237,
hallucination visual,LSD,4,0.13558974394164464,0.7127053761499512,0.7127053761499512,
headache,LSD,6,1.0445542271042054,0.3067646395991273,0.3067646395991273,
headache,MDMA,5,4.4995509900394934e-4,0.9217221862607495,0.9217221862607495,
hypertension,LSD,4,4.058953037634101e-5,0.994916718778237,0.994916718778237,
illusion,LSD,4,0.2084462687940138,0.647987937605624,0.647987937605624,
irritability,MDMA,4,0.8157547282621499,0.3664243145587844,0.3664243145587844,
jaw tension,MDMA,3,1.5322362938597218,0.21577712695836465,0.21577712695836465,
lack of appetite,LSD,4,0.5731231106265955,0.44902053755482174,0.44902053755482174,
lack of appetite,MDMA,5,1.4069836704603018,0.23555776715084126,0.23555776715084126,
muscle tension,MDMA,3,0.08452547949404564,0.7712557910703643,0.7712557910703643,
nausea,LSD,5,0.3906776306322698,0.5319434252809178,0.5319434252809178,
paresthesia,LSD,4,4.058953037634101e-5,0.994916718778237,0.994916718778237,
perspiration,LSD,4,4.058953037634101e-5,0.994916718778237,0.994916718778237,
rumination,MDMA,3,0.7961732435031083,0.3722399752716422,0.3722399752716422,
sleep disorder,MDMA,10,1.470485711194308e-5,0.8324870138801395,0.8324870138801395,
temperature perception disturbances,LSD,4,0.05871193680600516,0.8085434819748505,0.8085434819748505,
thinking abnormal,LSD,4,7.896262380965832e-4,0.9775821636306837,0.9775821636306837,
weakness,MDMA,3,0.794681738484586,0.372688214316989,0.372688214316989,
