molecule,ae_term,model,df_spline,k,beta,pval
PSILOCYBIN,abdominal pain,linear,NA,4,-0.05524092928098913,0.34747001047806003
LSD,altered state of consciousness,linear,NA,4,0.0019516376690798935,0.8656190699691487
LSD,anxiety,linear,NA,7,0.004373963264294146,0.3583008153530304
MDMA,anxiety,linear,NA,14,-0.013349482719905657,0.4622699101746691
PSILOCYBIN,anxiety,linear,NA,7,-0.05415200080686451,0.7275255961847789
LSD,attention disturbance,linear,NA,5,-0.009714382202267632,0.36276038491551155
MDMA,autonomic,linear,NA,5,0.03063016900758162,0.43602028782276925
PSILOCYBIN,back pain,linear,NA,3,-0.01638092247624197,0.8786952817490256
LSD,Balance_disorder,linear,NA,4,-5.029716751488908e-4,0.9468208753181986
MDMA,decreased concentration,linear,NA,5,-0.03828856598389694,0.17676201214661116
LSD,depressed mood,linear,NA,4,0.008085441871036951,0.2946135036438222
MDMA,depression,linear,NA,6,-0.05396354488656264,0.3243693057131309
PSILOCYBIN,diarrhea,linear,NA,3,0.05570326556096787,0.8752947091195503
MDMA,dissociation,linear,NA,3,-0.28879970027601143,0.3882497624536589
LSD,dizziness,linear,NA,6,0.0026126268181090014,0.5288051107353702
MDMA,dizziness,linear,NA,8,0.05470166434624642,0.024635894918026698
PSILOCYBIN,dizziness,linear,NA,5,-0.04800591821071932,0.5057513570786147
LSD,emotional distress,linear,NA,5,-4.0512218844039843e-4,0.9514610753856725
LSD,euphoric mood,linear,NA,4,0.004319421403153754,0.5053380243868221
MDMA,fatigue,linear,NA,12,0.010150072098639608,0.5497629240528875
PSILOCYBIN,fatigue,linear,NA,6,-0.06697728104488669,0.5859977674378856
LSD,Fatigue,linear,NA,4,-0.0012134204108148327,0.8494898149390382
LSD,feeling abnormal,linear,NA,5,-0.014673517683438912,0.11771177622389307
LSD,hallucination visual,linear,NA,4,-0.0011918546802502888,0.8296271278277486
LSD,headache,linear,NA,8,0.010680953033022246,0.011838960905262295
MDMA,headache,linear,NA,12,0.013606715763165265,0.5721624737118786
PSILOCYBIN,headache,linear,NA,9,-0.011147910530343627,0.9087208662303634
LSD,hypertension,linear,NA,4,3.165435747054473e-4,0.9581252720168464
PSILOCYBIN,hypertension,linear,NA,4,-0.2612097867651523,0.004066896912924798
LSD,illusion,linear,NA,4,0.010236782358698585,0.04935938119455929
LSD,impaired gait,linear,NA,3,15.912101622855703,0.33556931465344836
MDMA,irritability,linear,NA,6,0.0018358670240209672,0.9545527479358007
MDMA,jaw tension,linear,NA,11,0.0356771667098654,0.03956312969109011
LSD,lack of appetite,linear,NA,4,0.0044936582314456935,0.5584572803462373
MDMA,lack of appetite,linear,NA,9,0.02642578678683067,0.20924436271330282
PSILOCYBIN,migraine,linear,NA,3,0.020820989992651084,0.9436371563413922
MDMA,muscle tension,linear,NA,8,0.023266038613502602,0.40655090701458496
PSILOCYBIN,myalgia,linear,NA,3,-0.061626386278590774,0.3812986354353962
LSD,Mydriasis,linear,NA,4,0.0012091567632698658,0.867676276532408
LSD,nausea,linear,NA,5,0.01350573652859123,0.003174347621798376
MDMA,nausea,linear,NA,9,0.020114509095811937,0.61390606919152
PSILOCYBIN,nausea,linear,NA,8,0.011186426227040663,0.9196746193057042
MDMA,ophthalmological,linear,NA,4,-0.00925324624913205,0.9169111394020392
MDMA,pain,linear,NA,6,0.0017535214176728122,0.9810165865643957
LSD,paresthesia,linear,NA,4,0.009615670222188615,0.10786178677600446
LSD,perspiration,linear,NA,5,0.0035004795180443816,0.5588243841175466
MDMA,perspiration,linear,NA,7,0.032495726671411394,0.13117498556771032
LSD,Pseudo_hallucination,linear,NA,4,0.005629080131223173,0.41593948308854983
MDMA,restlessness,linear,NA,9,0.00646064527844145,0.7460950116372794
MDMA,rumination,linear,NA,6,0.002955655266581882,0.9240613784190882
MDMA,sleep disorder,linear,NA,13,0.020331496412406662,0.3768680979725237
PSILOCYBIN,sleep disorder,linear,NA,5,-0.07279110817657775,0.6860147926535243
PSILOCYBIN,suicidal ideation,linear,NA,6,-0.05160685747514168,0.2761043823795887
LSD,temperature perception disturbances,linear,NA,5,-0.011122346428748764,0.2903803095007992
LSD,thinking abnormal,linear,NA,5,0.006312615698297322,0.2992025238649093
LSD,Tremor,linear,NA,4,0.01133372244842837,0.08253398904018246
LSD,Vomiting,linear,NA,4,0.009699863762139315,0.1630912094073479
MDMA,weakness,linear,NA,4,0.019999960819011675,0.480647587763708
MDMA,xerostomia,linear,NA,4,0.02724917157598632,0.6355838326804413
