molecule,ae_term,model,df_spline,k,beta,pval,p_adj_bh_global,p_adj_bh_by_mol,sig_p05,sig_fdr_global05,sig_fdr_mol05
LSD,nausea,linear,NA,5,0.01350573652859123,0.003174347621798376,0.11997345893128153,0.07935869054495939,TRUE,FALSE,FALSE
PSILOCYBIN,hypertension,linear,NA,4,-0.2612097867651523,0.004066896912924798,0.11997345893128153,0.05286965986802237,TRUE,FALSE,FALSE
LSD,headache,linear,NA,8,0.010680953033022246,0.011838960905262295,0.2328328978034918,0.14798701131577868,TRUE,FALSE,FALSE
MDMA,dizziness,linear,NA,8,0.05470166434624642,0.024635894918026698,0.3633794500408938,0.41541286175644615,TRUE,FALSE,FALSE
MDMA,jaw tension,linear,NA,11,0.0356771667098654,0.03956312969109011,0.46684493035486335,0.41541286175644615,TRUE,FALSE,FALSE
LSD,illusion,linear,NA,4,0.010236782358698585,0.04935938119455929,0.4853672484131664,0.4113281766213275,TRUE,FALSE,FALSE
LSD,Tremor,linear,NA,4,0.01133372244842837,0.08253398904018246,0.6956436219101093,0.4904657342662212,FALSE,FALSE,FALSE
LSD,paresthesia,linear,NA,4,0.009615670222188615,0.10786178677600446,0.7716660885788545,0.4904657342662212,FALSE,FALSE,FALSE
LSD,feeling abnormal,linear,NA,5,-0.014673517683438912,0.11771177622389307,0.7716660885788545,0.4904657342662212,FALSE,FALSE,FALSE
MDMA,perspiration,linear,NA,7,0.032495726671411394,0.13117498556771032,0.7739324148494909,0.8342037803930792,FALSE,FALSE,FALSE
LSD,Vomiting,linear,NA,4,0.009699863762139315,0.1630912094073479,0.8690798930541717,0.5824686050262425,FALSE,FALSE,FALSE
MDMA,decreased concentration,linear,NA,5,-0.03828856598389694,0.17676201214661116,0.8690798930541717,0.8342037803930792,FALSE,FALSE,FALSE
MDMA,lack of appetite,linear,NA,9,0.02642578678683067,0.20924436271330282,0.9089047963786829,0.8342037803930792,FALSE,FALSE,FALSE
PSILOCYBIN,suicidal ideation,linear,NA,6,-0.05160685747514168,0.2761043823795887,0.9089047963786829,0.9436371563413922,FALSE,FALSE,FALSE
LSD,temperature perception disturbances,linear,NA,5,-0.011122346428748764,0.2903803095007992,0.9089047963786829,0.6976161248375222,FALSE,FALSE,FALSE
LSD,depressed mood,linear,NA,4,0.008085441871036951,0.2946135036438222,0.9089047963786829,0.6976161248375222,FALSE,FALSE,FALSE
LSD,thinking abnormal,linear,NA,5,0.006312615698297322,0.2992025238649093,0.9089047963786829,0.6976161248375222,FALSE,FALSE,FALSE
MDMA,depression,linear,NA,6,-0.05396354488656264,0.3243693057131309,0.9089047963786829,0.8342037803930792,FALSE,FALSE,FALSE
LSD,impaired gait,linear,NA,3,15.912101622855703,0.33556931465344836,0.9089047963786829,0.6976161248375222,FALSE,FALSE,FALSE
PSILOCYBIN,abdominal pain,linear,NA,4,-0.05524092928098913,0.34747001047806003,0.9089047963786829,0.9436371563413922,FALSE,FALSE,FALSE
LSD,anxiety,linear,NA,7,0.004373963264294146,0.3583008153530304,0.9089047963786829,0.6976161248375222,FALSE,FALSE,FALSE
LSD,attention disturbance,linear,NA,5,-0.009714382202267632,0.36276038491551155,0.9089047963786829,0.6976161248375222,FALSE,FALSE,FALSE
MDMA,sleep disorder,linear,NA,13,0.020331496412406662,0.3768680979725237,0.9089047963786829,0.8342037803930792,FALSE,FALSE,FALSE
PSILOCYBIN,myalgia,linear,NA,3,-0.061626386278590774,0.3812986354353962,0.9089047963786829,0.9436371563413922,FALSE,FALSE,FALSE
MDMA,dissociation,linear,NA,3,-0.28879970027601143,0.3882497624536589,0.9089047963786829,0.8342037803930792,FALSE,FALSE,FALSE
MDMA,muscle tension,linear,NA,8,0.023266038613502602,0.40655090701458496,0.9089047963786829,0.8342037803930792,FALSE,FALSE,FALSE
LSD,Pseudo_hallucination,linear,NA,4,0.005629080131223173,0.41593948308854983,0.9089047963786829,0.7427490769438391,FALSE,FALSE,FALSE
MDMA,autonomic,linear,NA,5,0.03063016900758162,0.43602028782276925,0.909838638916717,0.8342037803930792,FALSE,FALSE,FALSE
MDMA,anxiety,linear,NA,14,-0.013349482719905657,0.4622699101746691,0.909838638916717,0.8342037803930792,FALSE,FALSE,FALSE
MDMA,weakness,linear,NA,4,0.019999960819011675,0.480647587763708,0.909838638916717,0.8342037803930792,FALSE,FALSE,FALSE
