molecule,ae_term,model,df_spline,k,beta,pval,p_adj_bh_global,p_adj_bh_by_mol,sig_p05,sig_fdr_global05,sig_fdr_mol05
PSILOCYBIN,headache,linear,NA,11,0.05912587977379657,0.014381666159816522,0.48736905146539533,0.3163966555159635,TRUE,FALSE,FALSE
LSD,nausea,linear,NA,4,0.013096266854241315,0.015124797899462875,0.48736905146539533,0.29705944248024335,TRUE,FALSE,FALSE
LSD,headache,linear,NA,7,0.010011336419320959,0.02376475539841947,0.48736905146539533,0.29705944248024335,TRUE,FALSE,FALSE
MDMA,jaw tension,linear,NA,12,0.027188610629770918,0.03169619376920349,0.48736905146539533,0.48949602619696037,TRUE,FALSE,FALSE
PSILOCYBIN,nausea,linear,NA,10,0.05325589514563789,0.035835959666573186,0.48736905146539533,0.3941955563323051,TRUE,FALSE,FALSE
LSD,illusion,linear,NA,4,0.010236782358698585,0.04935938119455929,0.5594063202050054,0.4113281766213275,TRUE,FALSE,FALSE
PSILOCYBIN,depression,linear,NA,3,0.06866617792577215,0.07090271340190313,0.6235901394147119,0.4052845463864861,FALSE,FALSE,FALSE
PSILOCYBIN,tachycardia,linear,NA,3,0.14151891657785093,0.07368809934299747,0.6235901394147119,0.4052845463864861,FALSE,FALSE,FALSE
LSD,Tremor,linear,NA,4,0.01133372244842837,0.08253398904018246,0.6235901394147119,0.4904657342662212,FALSE,FALSE,FALSE
MDMA,dizziness,linear,NA,6,0.059068508840591734,0.09185549199447765,0.624617345562448,0.48949602619696037,FALSE,FALSE,FALSE
LSD,paresthesia,linear,NA,4,0.009615670222188615,0.10786178677600446,0.6667819546153002,0.4904657342662212,FALSE,FALSE,FALSE
LSD,feeling abnormal,linear,NA,5,-0.014673517683438912,0.11771177622389307,0.6670333986020608,0.4904657342662212,FALSE,FALSE,FALSE
MDMA,nausea,linear,NA,9,0.02203850123167431,0.1300751824202644,0.6803932618906138,0.48949602619696037,FALSE,FALSE,FALSE
LSD,Vomiting,linear,NA,4,0.009699863762139315,0.1630912094073479,0.7547784530928187,0.5824686050262425,FALSE,FALSE,FALSE
MDMA,dissociation,linear,NA,3,-0.4712646151135898,0.17370645609014906,0.7547784530928187,0.48949602619696037,FALSE,FALSE,FALSE
MDMA,fatigue,linear,NA,11,0.016537868878043344,0.19588860082342857,0.7547784530928187,0.48949602619696037,FALSE,FALSE,FALSE
MDMA,perspiration,linear,NA,6,0.034341361902731946,0.20330807789833066,0.7547784530928187,0.48949602619696037,FALSE,FALSE,FALSE
MDMA,sleep disorder,linear,NA,14,0.01902301176812536,0.21543424458905666,0.7547784530928187,0.48949602619696037,FALSE,FALSE,FALSE
MDMA,lack of appetite,linear,NA,8,0.03251299370181786,0.21592655911946232,0.7547784530928187,0.48949602619696037,FALSE,FALSE,FALSE
MDMA,headache,linear,NA,11,0.01888516641116379,0.23212331305637518,0.7547784530928187,0.48949602619696037,FALSE,FALSE,FALSE
MDMA,muscle tension,linear,NA,8,0.021688870925412596,0.23309334580807636,0.7547784530928187,0.48949602619696037,FALSE,FALSE,FALSE
PSILOCYBIN,dizziness,linear,NA,6,0.03405294038741031,0.2695112103733366,0.7627531800519607,0.8786952817490256,FALSE,FALSE,FALSE
LSD,temperature perception disturbances,linear,NA,5,-0.011122346428748764,0.2903803095007992,0.7627531800519607,0.7480063096622733,FALSE,FALSE,FALSE
LSD,depressed mood,linear,NA,4,0.008085441871036951,0.2946135036438222,0.7627531800519607,0.7480063096622733,FALSE,FALSE,FALSE
