molecule,ae_term,model,beta,pval,k,p_adj_bh_global,p_adj_bh_by_mol,sig_p05,sig_fdr_global05,sig_fdr_mol05
LSD,nausea,linear,0.01350573652859123,0.003174347621798376,5,0.11997345893128153,0.07935869054495939,TRUE,FALSE,FALSE
PSILOCYBIN,hypertension,linear,-0.2612097867651523,0.004066896912924798,4,0.11997345893128153,0.05286965986802237,TRUE,FALSE,FALSE
LSD,headache,linear,0.010680953033022246,0.011838960905262295,8,0.2328328978034918,0.14798701131577868,TRUE,FALSE,FALSE
MDMA,dizziness,linear,0.05470166434624642,0.024635894918026698,8,0.3633794500408938,0.41541286175644615,TRUE,FALSE,FALSE
MDMA,jaw tension,linear,0.0356771667098654,0.03956312969109011,11,0.46684493035486335,0.41541286175644615,TRUE,FALSE,FALSE
LSD,illusion,linear,0.010236782358698585,0.04935938119455929,4,0.4853672484131664,0.4113281766213275,TRUE,FALSE,FALSE
LSD,Tremor,linear,0.01133372244842837,0.08253398904018246,4,0.6956436219101093,0.4904657342662212,FALSE,FALSE,FALSE
LSD,paresthesia,linear,0.009615670222188615,0.10786178677600446,4,0.7716660885788545,0.4904657342662212,FALSE,FALSE,FALSE
LSD,feeling abnormal,linear,-0.014673517683438912,0.11771177622389307,5,0.7716660885788545,0.4904657342662212,FALSE,FALSE,FALSE
MDMA,perspiration,linear,0.032495726671411394,0.13117498556771032,7,0.7739324148494909,0.8342037803930792,FALSE,FALSE,FALSE
LSD,Vomiting,linear,0.009699863762139315,0.1630912094073479,4,0.8690798930541717,0.5824686050262425,FALSE,FALSE,FALSE
MDMA,decreased concentration,linear,-0.03828856598389694,0.17676201214661116,5,0.8690798930541717,0.8342037803930792,FALSE,FALSE,FALSE
MDMA,lack of appetite,linear,0.02642578678683067,0.20924436271330282,9,0.9089047963786829,0.8342037803930792,FALSE,FALSE,FALSE
PSILOCYBIN,suicidal ideation,linear,-0.05160685747514168,0.2761043823795887,6,0.9089047963786829,0.9436371563413922,FALSE,FALSE,FALSE
LSD,temperature perception disturbances,linear,-0.011122346428748764,0.2903803095007992,5,0.9089047963786829,0.6976161248375222,FALSE,FALSE,FALSE
LSD,depressed mood,linear,0.008085441871036951,0.2946135036438222,4,0.9089047963786829,0.6976161248375222,FALSE,FALSE,FALSE
LSD,thinking abnormal,linear,0.006312615698297322,0.2992025238649093,5,0.9089047963786829,0.6976161248375222,FALSE,FALSE,FALSE
MDMA,depression,linear,-0.05396354488656264,0.3243693057131309,6,0.9089047963786829,0.8342037803930792,FALSE,FALSE,FALSE
LSD,impaired gait,linear,15.912101622855703,0.33556931465344836,3,0.9089047963786829,0.6976161248375222,FALSE,FALSE,FALSE
PSILOCYBIN,abdominal pain,linear,-0.05524092928098913,0.34747001047806003,4,0.9089047963786829,0.9436371563413922,FALSE,FALSE,FALSE
LSD,anxiety,linear,0.004373963264294146,0.3583008153530304,7,0.9089047963786829,0.6976161248375222,FALSE,FALSE,FALSE
LSD,attention disturbance,linear,-0.009714382202267632,0.36276038491551155,5,0.9089047963786829,0.6976161248375222,FALSE,FALSE,FALSE
MDMA,sleep disorder,linear,0.020331496412406662,0.3768680979725237,13,0.9089047963786829,0.8342037803930792,FALSE,FALSE,FALSE
PSILOCYBIN,myalgia,linear,-0.061626386278590774,0.3812986354353962,3,0.9089047963786829,0.9436371563413922,FALSE,FALSE,FALSE
MDMA,dissociation,linear,-0.28879970027601143,0.3882497624536589,3,0.9089047963786829,0.8342037803930792,FALSE,FALSE,FALSE
MDMA,muscle tension,linear,0.023266038613502602,0.40655090701458496,8,0.9089047963786829,0.8342037803930792,FALSE,FALSE,FALSE
LSD,Pseudo_hallucination,linear,0.005629080131223173,0.41593948308854983,4,0.9089047963786829,0.7427490769438391,FALSE,FALSE,FALSE
MDMA,autonomic,linear,0.03063016900758162,0.43602028782276925,5,0.909838638916717,0.8342037803930792,FALSE,FALSE,FALSE
MDMA,anxiety,linear,-0.013349482719905657,0.4622699101746691,14,0.909838638916717,0.8342037803930792,FALSE,FALSE,FALSE
MDMA,weakness,linear,0.019999960819011675,0.480647587763708,4,0.909838638916717,0.8342037803930792,FALSE,FALSE,FALSE
LSD,euphoric mood,linear,0.004319421403153754,0.5053380243868221,4,0.909838638916717,0.776144977941037,FALSE,FALSE,FALSE
PSILOCYBIN,dizziness,linear,-0.04800591821071932,0.5057513570786147,5,0.909838638916717,0.9436371563413922,FALSE,FALSE,FALSE
LSD,dizziness,linear,0.0026126268181090014,0.5288051107353702,6,0.909838638916717,0.776144977941037,FALSE,FALSE,FALSE
MDMA,fatigue,linear,0.010150072098639608,0.5497629240528875,12,0.909838638916717,0.8342037803930792,FALSE,FALSE,FALSE
LSD,lack of appetite,linear,0.0044936582314456935,0.5584572803462373,4,0.909838638916717,0.776144977941037,FALSE,FALSE,FALSE
LSD,perspiration,linear,0.0035004795180443816,0.5588243841175466,5,0.909838638916717,0.776144977941037,FALSE,FALSE,FALSE
MDMA,headache,linear,0.013606715763165265,0.5721624737118786,12,0.909838638916717,0.8342037803930792,FALSE,FALSE,FALSE
PSILOCYBIN,fatigue,linear,-0.06697728104488669,0.5859977674378856,6,0.909838638916717,0.9436371563413922,FALSE,FALSE,FALSE
MDMA,nausea,linear,0.020114509095811937,0.61390606919152,9,0.9287296944179405,0.8342037803930792,FALSE,FALSE,FALSE
MDMA,xerostomia,linear,0.02724917157598632,0.6355838326804413,4,0.9374861532036509,0.8342037803930792,FALSE,FALSE,FALSE
PSILOCYBIN,sleep disorder,linear,-0.07279110817657775,0.6860147926535243,5,0.9746446732585161,0.9436371563413922,FALSE,FALSE,FALSE
PSILOCYBIN,anxiety,linear,-0.05415200080686451,0.7275255961847789,7,0.9746446732585161,0.9436371563413922,FALSE,FALSE,FALSE
MDMA,restlessness,linear,0.00646064527844145,0.7460950116372794,9,0.9746446732585161,0.9216467790813452,FALSE,FALSE,FALSE
LSD,hallucination visual,linear,-0.0011918546802502888,0.8296271278277486,4,0.9746446732585161,0.9581252720168464,FALSE,FALSE,FALSE
LSD,Fatigue,linear,-0.0012134204108148327,0.8494898149390382,4,0.9746446732585161,0.9581252720168464,FALSE,FALSE,FALSE
LSD,altered state of consciousness,linear,0.0019516376690798935,0.8656190699691487,4,0.9746446732585161,0.9581252720168464,FALSE,FALSE,FALSE
LSD,Mydriasis,linear,0.0012091567632698658,0.867676276532408,4,0.9746446732585161,0.9581252720168464,FALSE,FALSE,FALSE
PSILOCYBIN,diarrhea,linear,0.05570326556096787,0.8752947091195503,3,0.9746446732585161,0.9436371563413922,FALSE,FALSE,FALSE
PSILOCYBIN,back pain,linear,-0.01638092247624197,0.8786952817490256,3,0.9746446732585161,0.9436371563413922,FALSE,FALSE,FALSE
PSILOCYBIN,headache,linear,-0.011147910530343627,0.9087208662303634,9,0.9746446732585161,0.9436371563413922,FALSE,FALSE,FALSE
MDMA,ophthalmological,linear,-0.00925324624913205,0.9169111394020392,4,0.9746446732585161,0.9810165865643957,FALSE,FALSE,FALSE
PSILOCYBIN,nausea,linear,0.011186426227040663,0.9196746193057042,8,0.9746446732585161,0.9436371563413922,FALSE,FALSE,FALSE
MDMA,rumination,linear,0.002955655266581882,0.9240613784190882,6,0.9746446732585161,0.9810165865643957,FALSE,FALSE,FALSE
PSILOCYBIN,migraine,linear,0.020820989992651084,0.9436371563413922,3,0.9746446732585161,0.9436371563413922,FALSE,FALSE,FALSE
LSD,Balance_disorder,linear,-5.029716751488908e-4,0.9468208753181986,4,0.9746446732585161,0.9581252720168464,FALSE,FALSE,FALSE
LSD,emotional distress,linear,-4.0512218844039843e-4,0.9514610753856725,5,0.9746446732585161,0.9581252720168464,FALSE,FALSE,FALSE
MDMA,irritability,linear,0.0018358670240209672,0.9545527479358007,6,0.9746446732585161,0.9810165865643957,FALSE,FALSE,FALSE
LSD,hypertension,linear,3.165435747054473e-4,0.9581252720168464,4,0.9746446732585161,0.9581252720168464,FALSE,FALSE,FALSE
MDMA,pain,linear,0.0017535214176728122,0.9810165865643957,6,0.9810165865643957,0.9810165865643957,FALSE,FALSE,FALSE
