Molecule,Adverse event,Model,Term,β (log-OR),95% CI (log-OR),OR [95% CI],z,p,Stars,k,I² (%),τ²,QE,QM,QMp
MDMA,anxiety,linear,intrcpt,1.640,,,0.7588167571803596,0.448,,4,0.0,0.304,2.3112840666726795,4.2685682397770976e-5,0.9947871156966084
MDMA,anxiety,linear,dose_diff,0.000,,,0.00653342807397242,0.995,,4,0.0,0.304,2.3112840666726795,4.2685682397770976e-5,0.9947871156966084
MDMA,decreased concentration,linear,intrcpt,-0.479,,,-0.08930158125972802,0.929,,3,0.0,0.000,0.00865974148166154,0.04123015107588418,0.8390943185600254
MDMA,decreased concentration,linear,dose_diff,0.010,,,0.2030520895629596,0.839,,3,0.0,0.000,0.00865974148166154,0.04123015107588418,0.8390943185600254
MDMA,depression,linear,intrcpt,-2.972,,,-0.4977985344402297,0.619,,3,0.0,0.336,1.380335979225643,0.4575458971735239,0.4987731402516836
MDMA,depression,linear,dose_diff,0.038,,,0.6764213902394896,0.499,,3,0.0,0.336,1.380335979225643,0.4575458971735239,0.4987731402516836
MDMA,fatigue,linear,intrcpt,3.245,,,1.261813639100298,0.207,,4,0.0,0.000,0.9161805153646798,0.09471448777705288,0.7582670991858665
MDMA,fatigue,linear,dose_diff,-0.008,,,-0.307757189643155,0.758,,4,0.0,0.000,0.9161805153646798,0.09471448777705288,0.7582670991858665
MDMA,headache,linear,intrcpt,0.587,,,0.30881734309416153,0.757,,4,0.0,0.000,0.3241854025342338,0.01130389874852395,0.9153286266908108
MDMA,headache,linear,dose_diff,0.002,,,0.10631979471633658,0.915,,4,0.0,0.000,0.3241854025342338,0.01130389874852395,0.9153286266908108
MDMA,irritability,linear,intrcpt,-0.684,,,-0.34831127913700344,0.728,,3,0.0,0.000,0.00974844070000025,0.5845186507744966,0.44454658466005226
MDMA,irritability,linear,dose_diff,0.016,,,0.7645381944510664,0.445,,3,0.0,0.000,0.00974844070000025,0.5845186507744966,0.44454658466005226
MDMA,lack of appetite,linear,intrcpt,-2.253,,,-1.0233573284945434,0.306,,4,0.0,0.000,0.6404185971011257,1.6083672968520222,0.2047214617746915
MDMA,lack of appetite,linear,dose_diff,0.029,,,1.2682142156796783,0.205,,4,0.0,0.000,0.6404185971011257,1.6083672968520222,0.2047214617746915
MDMA,muscle tension,linear,intrcpt,1.216,,,0.6204652461371941,0.535,,3,0.0,0.000,0.8057510935007546,0.0845254794940456,0.7712557910703645
MDMA,muscle tension,linear,dose_diff,-0.006,,,-0.2907326598338164,0.771,,3,0.0,0.000,0.8057510935007546,0.0845254794940456,0.7712557910703645
MDMA,sleep disorder,linear,intrcpt,1.774,,,1.2105962242196977,0.226,,8,0.0,0.057,5.756000060341471,0.09015400544914606,0.7639814608338534
MDMA,sleep disorder,linear,dose_diff,-0.005,,,-0.3002565660383567,0.764,,8,0.0,0.057,5.756000060341471,0.09015400544914606,0.7639814608338534
MDMA,sleep disorder,spline_df3,intrcpt,1.482,,,1.670979944609264,0.095,,8,0.0,0.050,3.588430715146953,2.1636825818155296,0.5391371486469972
MDMA,sleep disorder,spline_df3,"ns(dose_diff, df = df_spline)1",-5.522,,,-1.4592915208345438,0.144,,8,0.0,0.050,3.588430715146953,2.1636825818155296,0.5391371486469972
MDMA,sleep disorder,spline_df3,"ns(dose_diff, df = df_spline)2",3.808,,,1.1166914102287984,0.264,,8,0.0,0.050,3.588430715146953,2.1636825818155296,0.5391371486469972
MDMA,sleep disorder,spline_df3,"ns(dose_diff, df = df_spline)3",-3.157,,,-1.3841055249672505,0.166,,8,0.0,0.050,3.588430715146953,2.1636825818155296,0.5391371486469972
