time_window,molecule,ae_term,n_studies,events_total,n_total,rate,rate_pct,events_source
follow_up,LSD,headache,3,40.989000000000004,230,0.1782130434782609,17.82130434782609,row-wise preference: absolute_events else events
follow_up,LSD,attention disturbance,2,32,188,0.1702127659574468,17.02127659574468,row-wise preference: absolute_events else events
follow_up,LSD,fatigue,3,33,230,0.14347826086956522,14.347826086956522,row-wise preference: absolute_events else events
follow_up,LSD,impaired gait,1,4,29,0.13793103448275862,13.793103448275861,row-wise preference: absolute_events else events
follow_up,LSD,decreased concentration,1,4,42,0.09523809523809523,9.523809523809524,row-wise preference: absolute_events else events
follow_up,LSD,anxiety,3,26.003,276,0.09421376811594202,9.421376811594202,row-wise preference: absolute_events else events
follow_up,LSD,depressed mood,1,7,159,0.0440251572327044,4.40251572327044,row-wise preference: absolute_events else events
follow_up,LSD,nausea,3,9,230,0.0391304347826087,3.91304347826087,row-wise preference: absolute_events else events
follow_up,LSD,accident with fracture,1,1,29,0.034482758620689655,3.4482758620689653,row-wise preference: absolute_events else events
follow_up,LSD,dizziness,3,6,230,0.02608695652173913,2.608695652173913,row-wise preference: absolute_events else events
follow_up,LSD,panic_attack,1,0.975,39,0.024999999999999998,2.5,row-wise preference: absolute_events else events
follow_up,LSD,abdominal pain,1,1,42,0.023809523809523808,2.380952380952381,row-wise preference: absolute_events else events
follow_up,LSD,diarrhea,1,1,42,0.023809523809523808,2.380952380952381,row-wise preference: absolute_events else events
follow_up,LSD,eczema,1,1,42,0.023809523809523808,2.380952380952381,row-wise preference: absolute_events else events
follow_up,LSD,hemoglobin decrease,1,1,42,0.023809523809523808,2.380952380952381,row-wise preference: absolute_events else events
follow_up,LSD,illusion,1,3.0140000000000002,159,0.018955974842767297,1.8955974842767298,row-wise preference: absolute_events else events
follow_up,LSD,lack of appetite,2,3,201,0.014925373134328358,1.4925373134328357,row-wise preference: absolute_events else events
follow_up,LSD,temperature perception disturbances,2,3,201,0.014925373134328358,1.4925373134328357,row-wise preference: absolute_events else events
follow_up,LSD,depression,2,1,71,0.014084507042253521,1.4084507042253522,row-wise preference: absolute_events else events
follow_up,LSD,hallucination visual,1,1.014,159,0.006377358490566038,0.6377358490566037,row-wise preference: absolute_events else events
follow_up,LSD,emotional distress,1,1,159,0.006289308176100629,0.628930817610063,row-wise preference: absolute_events else events
follow_up,LSD,thinking abnormal,1,1,159,0.006289308176100629,0.628930817610063,row-wise preference: absolute_events else events
follow_up,LSD,tremor,1,1,159,0.006289308176100629,0.628930817610063,row-wise preference: absolute_events else events
follow_up,LSD,abdominal cramps,1,0,42,0,0,row-wise preference: absolute_events else events
follow_up,LSD,abnormal dreams,1,0,42,0,0,row-wise preference: absolute_events else events
follow_up,LSD,alopecia,1,0,42,0,0,row-wise preference: absolute_events else events
follow_up,LSD,altered state of consciousness,1,0,159,0,0,row-wise preference: absolute_events else events
follow_up,LSD,asthma bronchiale,1,0,42,0,0,row-wise preference: absolute_events else events
follow_up,LSD,balance_disorder,1,0,159,0,0,row-wise preference: absolute_events else events
follow_up,LSD,bronchitis,1,0,42,0,0,row-wise preference: absolute_events else events
follow_up,LSD,confusion,1,0,42,0,0,row-wise preference: absolute_events else events
follow_up,LSD,cough,1,0,42,0,0,row-wise preference: absolute_events else events
follow_up,LSD,dizziness after deduction of escitalopram,1,0,42,0,0,row-wise preference: absolute_events else events
follow_up,LSD,dog bite,1,0,42,0,0,row-wise preference: absolute_events else events
follow_up,LSD,edema,1,0,42,0,0,row-wise preference: absolute_events else events
follow_up,LSD,euphoric mood,1,0,159,0,0,row-wise preference: absolute_events else events
follow_up,LSD,fall,1,0,42,0,0,row-wise preference: absolute_events else events
follow_up,LSD,feeling abnormal,1,0,159,0,0,row-wise preference: absolute_events else events
follow_up,LSD,groin and testicle pain,1,0,42,0,0,row-wise preference: absolute_events else events
follow_up,LSD,gynecomastia,1,0,42,0,0,row-wise preference: absolute_events else events
follow_up,LSD,hand-foot syndrome,1,0,42,0,0,row-wise preference: absolute_events else events
follow_up,LSD,hypercholesterinemia,1,0,42,0,0,row-wise preference: absolute_events else events
