time_window,molecule,study_id,arm_id,group,arm_type,dose_mg,ae_term,events_total,n_total,rate,rate_pct
follow_up,LSD,Mueller2025,high_dose,high_dose,active,0.1,accident with fracture,0.0344827586206896,29,0.0011890606420927449,0.11890606420927449
follow_up,LSD,Mueller2025,high_dose,high_dose,active,0.1,attention disturbance,1.03448275862069,29,0.035671819262782414,3.5671819262782414
follow_up,LSD,Mueller2025,high_dose,high_dose,active,0.1,depression,0.0344827586206896,29,0.0011890606420927449,0.11890606420927449
follow_up,LSD,Mueller2025,high_dose,high_dose,active,0.1,dizziness,0.103448275862069,29,0.0035671819262782416,0.35671819262782417
follow_up,LSD,Mueller2025,high_dose,high_dose,active,0.1,fatigue,0.689655172413794,29,0.023781212841854967,2.3781212841854966
follow_up,LSD,Mueller2025,high_dose,high_dose,active,0.1,headache,0.862068965517242,29,0.02972651605231869,2.972651605231869
follow_up,LSD,Mueller2025,high_dose,high_dose,active,0.1,impaired gait,0.137931034482759,29,0.004756242568371,0.4756242568371
follow_up,LSD,Mueller2025,high_dose,high_dose,active,0.1,nausea,0.0689655172413793,29,0.002378121284185493,0.2378121284185493
follow_up,LSD,Robison2025,100ug,100ug,active,100,Balance_disorder,0,40,0,0
follow_up,LSD,Robison2025,100ug,100ug,active,100,Fatigue,0.025,40,6.25e-4,0.0625
follow_up,LSD,Robison2025,100ug,100ug,active,100,Mydriasis,0,40,0,0
follow_up,LSD,Robison2025,100ug,100ug,active,100,Tremor,0.025,40,6.25e-4,0.0625
follow_up,LSD,Robison2025,100ug,100ug,active,100,Vomiting,0,40,0,0
follow_up,LSD,Robison2025,100ug,100ug,active,100,altered state of consciousness,0,40,0,0
follow_up,LSD,Robison2025,100ug,100ug,active,100,anxiety,0,40,0,0
follow_up,LSD,Robison2025,100ug,100ug,active,100,attention disturbance,0.025,40,6.25e-4,0.0625
follow_up,LSD,Robison2025,100ug,100ug,active,100,dizziness,0,40,0,0
follow_up,LSD,Robison2025,100ug,100ug,active,100,emotional distress,0,40,0,0
follow_up,LSD,Robison2025,100ug,100ug,active,100,feeling abnormal,0,40,0,0
follow_up,LSD,Robison2025,100ug,100ug,active,100,hypertension,0,40,0,0
follow_up,LSD,Robison2025,100ug,100ug,active,100,lack of appetite,0.025,40,6.25e-4,0.0625
follow_up,LSD,Robison2025,100ug,100ug,active,100,paresthesia,0,40,0,0
follow_up,LSD,Robison2025,100ug,100ug,active,100,perspiration,0,40,0,0
follow_up,LSD,Robison2025,100ug,100ug,active,100,pseudohallucination,0,40,0,0
follow_up,LSD,Robison2025,100ug,100ug,active,100,temperature perception disturbances,0,40,0,0
follow_up,LSD,Robison2025,100ug,100ug,active,100,thinking abnormal,0.025,40,6.25e-4,0.0625
follow_up,LSD,Robison2025,200ug,200ug,active,200,Balance_disorder,0,40,0,0
follow_up,LSD,Robison2025,200ug,200ug,active,200,Fatigue,0.025,40,6.25e-4,0.0625
follow_up,LSD,Robison2025,200ug,200ug,active,200,Mydriasis,0,40,0,0
follow_up,LSD,Robison2025,200ug,200ug,active,200,Tremor,0,40,0,0
follow_up,LSD,Robison2025,200ug,200ug,active,200,Vomiting,0,40,0,0
follow_up,LSD,Robison2025,200ug,200ug,active,200,altered state of consciousness,0,40,0,0
follow_up,LSD,Robison2025,200ug,200ug,active,200,anxiety,0.025,40,6.25e-4,0.0625
follow_up,LSD,Robison2025,200ug,200ug,active,200,attention disturbance,0,40,0,0
follow_up,LSD,Robison2025,200ug,200ug,active,200,dizziness,0,40,0,0
follow_up,LSD,Robison2025,200ug,200ug,active,200,emotional distress,0.025,40,6.25e-4,0.0625
follow_up,LSD,Robison2025,200ug,200ug,active,200,feeling abnormal,0,40,0,0
follow_up,LSD,Robison2025,200ug,200ug,active,200,hypertension,0,40,0,0
follow_up,LSD,Robison2025,200ug,200ug,active,200,lack of appetite,0.05,40,0.00125,0.125
follow_up,LSD,Robison2025,200ug,200ug,active,200,paresthesia,0,40,0,0
follow_up,LSD,Robison2025,200ug,200ug,active,200,perspiration,0,40,0,0
follow_up,LSD,Robison2025,200ug,200ug,active,200,pseudohallucination,0,40,0,0
