time_window,molecule,study_id,ae_term,n_arms,events_total,n_total,rate,rate_pct
follow_up,LSD,Mueller2025,accident with fracture,1,0.0344827586206896,29,0.0011890606420927449,0.11890606420927449
follow_up,LSD,Mueller2025,attention disturbance,1,1.03448275862069,29,0.035671819262782414,3.5671819262782414
follow_up,LSD,Mueller2025,depression,1,0.0344827586206896,29,0.0011890606420927449,0.11890606420927449
follow_up,LSD,Mueller2025,dizziness,1,0.103448275862069,29,0.0035671819262782416,0.35671819262782417
follow_up,LSD,Mueller2025,fatigue,1,0.689655172413794,29,0.023781212841854967,2.3781212841854966
follow_up,LSD,Mueller2025,headache,1,0.862068965517242,29,0.02972651605231869,2.972651605231869
follow_up,LSD,Mueller2025,impaired gait,1,0.137931034482759,29,0.004756242568371,0.4756242568371
follow_up,LSD,Mueller2025,nausea,1,0.0689655172413793,29,0.002378121284185493,0.2378121284185493
follow_up,LSD,Robison2025,Balance_disorder,4,0,159,0,0
follow_up,LSD,Robison2025,Fatigue,4,0.1,159,6.28930817610063e-4,0.0628930817610063
follow_up,LSD,Robison2025,Mydriasis,4,0,159,0,0
follow_up,LSD,Robison2025,Tremor,4,0.025,159,1.5723270440251574e-4,0.015723270440251576
follow_up,LSD,Robison2025,Vomiting,4,0,159,0,0
follow_up,LSD,Robison2025,altered state of consciousness,4,0,159,0,0
follow_up,LSD,Robison2025,anxiety,4,0.177,159,0.0011132075471698114,0.11132075471698114
follow_up,LSD,Robison2025,attention disturbance,4,0.05,159,3.144654088050315e-4,0.03144654088050315
follow_up,LSD,Robison2025,depressed mood,4,0.175,159,0.00110062893081761,0.11006289308176101
follow_up,LSD,Robison2025,dizziness,4,0,159,0,0
follow_up,LSD,Robison2025,emotional distress,4,0.025,159,1.5723270440251574e-4,0.015723270440251576
follow_up,LSD,Robison2025,euphoric mood,4,0,159,0,0
follow_up,LSD,Robison2025,feeling abnormal,4,0,159,0,0
follow_up,LSD,Robison2025,hallucination visual,4,0.026,159,1.6352201257861635e-4,0.016352201257861635
follow_up,LSD,Robison2025,headache,4,0.226,159,0.0014213836477987422,0.1421383647798742
follow_up,LSD,Robison2025,hypertension,4,0,159,0,0
follow_up,LSD,Robison2025,illusion,4,0.07600000000000001,159,4.779874213836479e-4,0.04779874213836479
follow_up,LSD,Robison2025,lack of appetite,4,0.07500000000000001,159,4.7169811320754723e-4,0.04716981132075472
follow_up,LSD,Robison2025,nausea,4,0.07500000000000001,159,4.7169811320754723e-4,0.04716981132075472
follow_up,LSD,Robison2025,panic_attack,1,0.025,39,6.41025641025641e-4,0.0641025641025641
follow_up,LSD,Robison2025,paresthesia,4,0,159,0,0
follow_up,LSD,Robison2025,perspiration,4,0,159,0,0
follow_up,LSD,Robison2025,pseudohallucination,4,0,159,0,0
follow_up,LSD,Robison2025,temperature perception disturbances,4,0.025,159,1.5723270440251574e-4,0.015723270440251576
follow_up,LSD,Robison2025,thinking abnormal,4,0.025,159,1.5723270440251574e-4,0.015723270440251576
follow_up,LSD,Tomsovic1970,anxiety,1,0.253333333333333,75,0.003377777777777774,0.3377777777777774
follow_up,MDMA,Mithoefer2011,anxiety,1,0.58,12,0.04833333333333333,4.833333333333333
