time_window,molecule,n_studies_molecule,n_total_molecule,ae_term,n_studies_ae,n_total_ae,events_total,event_pct,events_per_1000,display
follow_up,LSD,4,305,headache,3,230,40.989000000000004,17.82130434782609,178.2130434782609,41.0/230 (17.8%)
follow_up,LSD,4,305,attention disturbance,2,188,32,17.02127659574468,170.2127659574468,32.0/188 (17.0%)
follow_up,LSD,4,305,fatigue,3,230,33,14.347826086956522,143.47826086956522,33.0/230 (14.3%)
follow_up,LSD,4,305,impaired gait,1,29,4,13.793103448275861,137.9310344827586,4.0/29 (13.8%)
follow_up,LSD,4,305,decreased concentration,1,42,4,9.523809523809524,95.23809523809523,4.0/42 (9.5%)
follow_up,LSD,4,305,anxiety,3,276,26.003,9.421376811594202,94.21376811594202,26.0/276 (9.4%)
follow_up,LSD,4,305,depressed mood,1,159,7,4.40251572327044,44.0251572327044,7.0/159 (4.4%)
follow_up,LSD,4,305,nausea,3,230,9,3.91304347826087,39.130434782608695,9.0/230 (3.9%)
follow_up,LSD,4,305,accident with fracture,1,29,1,3.4482758620689653,34.48275862068965,1.0/29 (3.4%)
follow_up,LSD,4,305,dizziness,3,230,6,2.608695652173913,26.08695652173913,6.0/230 (2.6%)
follow_up,LSD,4,305,panic_attack,1,39,0.975,2.5,24.999999999999996,1.0/39 (2.5%)
follow_up,LSD,4,305,abdominal pain,1,42,1,2.380952380952381,23.809523809523807,1.0/42 (2.4%)
follow_up,LSD,4,305,diarrhea,1,42,1,2.380952380952381,23.809523809523807,1.0/42 (2.4%)
follow_up,LSD,4,305,eczema,1,42,1,2.380952380952381,23.809523809523807,1.0/42 (2.4%)
follow_up,LSD,4,305,hemoglobin decrease,1,42,1,2.380952380952381,23.809523809523807,1.0/42 (2.4%)
follow_up,LSD,4,305,illusion,1,159,3.0140000000000002,1.8955974842767298,18.955974842767297,3.0/159 (1.9%)
follow_up,LSD,4,305,lack of appetite,2,201,3,1.4925373134328357,14.925373134328359,3.0/201 (1.5%)
follow_up,LSD,4,305,temperature perception disturbances,2,201,3,1.4925373134328357,14.925373134328359,3.0/201 (1.5%)
follow_up,LSD,4,305,depression,2,71,1,1.4084507042253522,14.084507042253522,1.0/71 (1.4%)
follow_up,LSD,4,305,hallucination visual,1,159,1.014,0.6377358490566037,6.377358490566038,1.0/159 (0.6%)
follow_up,LSD,4,305,emotional distress,1,159,1,0.628930817610063,6.289308176100629,1.0/159 (0.6%)
follow_up,LSD,4,305,thinking abnormal,1,159,1,0.628930817610063,6.289308176100629,1.0/159 (0.6%)
follow_up,LSD,4,305,tremor,1,159,1,0.628930817610063,6.289308176100629,1.0/159 (0.6%)
follow_up,LSD,4,305,abdominal cramps,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,abnormal dreams,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,alopecia,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,altered state of consciousness,1,159,0,0,0,0.0/159 (0.0%)
follow_up,LSD,4,305,asthma bronchiale,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,balance_disorder,1,159,0,0,0,0.0/159 (0.0%)
follow_up,LSD,4,305,bronchitis,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,confusion,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,cough,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,dizziness after deduction of escitalopram,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,dog bite,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,edema,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,euphoric mood,1,159,0,0,0,0.0/159 (0.0%)
follow_up,LSD,4,305,fall,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,feeling abnormal,1,159,0,0,0,0.0/159 (0.0%)
follow_up,LSD,4,305,groin and testicle pain,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,gynecomastia,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,hand-foot syndrome,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,hypercholesterinemia,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,hypertension,1,159,0,0,0,0.0/159 (0.0%)
follow_up,LSD,4,305,insect bite,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,ischialgia,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,lumbalgia,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,mastitis,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,mydriasis,1,159,0,0,0,0.0/159 (0.0%)
follow_up,LSD,4,305,norovirus,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,pain,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,paresthesia,1,159,0,0,0,0.0/159 (0.0%)
follow_up,LSD,4,305,perspiration,1,159,0,0,0,0.0/159 (0.0%)
follow_up,LSD,4,305,polyneuropathy,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,pseudohallucination,1,159,0,0,0,0.0/159 (0.0%)
follow_up,LSD,4,305,psychosomatic complaints,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,rejection reaction,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,restlessness,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,rumination,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,shingles,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,sigmoiditis,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,sleep disorder,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,sore throat,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,suicidal ideation,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,toothache,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,torticollis,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,tumorprogression,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,tumorrelapse,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,urinary infection,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,vaginalmycosis,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,viral eye infection,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,vitamin b12 deficiency,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,vomiting,1,159,0,0,0,0.0/159 (0.0%)
follow_up,LSD,4,305,weight gain,1,42,0,0,0,0.0/42 (0.0%)
follow_up,LSD,4,305,whiteness tooth dissection,1,42,0,0,0,0.0/42 (0.0%)
