Window,Molecule,Rank,Adverse event,Number of studies,Total participants,Events,Events per 1000,Display
Follow-up,LSD,1,Headache,3,230,41,178,41/230 (18%)
Follow-up,LSD,2,Attention disturbance,2,188,32,170,32/188 (17%)
Follow-up,LSD,3,Fatigue,3,230,33,143,33/230 (14%)
Follow-up,LSD,4,Impaired gait,1,29,4,138,4/29 (14%)
Follow-up,LSD,5,Decreased concentration,1,42,4,95,4/42 (10%)
Follow-up,LSD,6,Anxiety,3,276,26,94,26/276 (9%)
Follow-up,LSD,7,Depressed mood,1,159,7,44,7/159 (4%)
Follow-up,LSD,8,Nausea,3,230,9,39,9/230 (4%)
Follow-up,LSD,9,Accident with fracture,1,29,1,34,1/29 (3%)
Follow-up,LSD,10,Dizziness,3,230,6,26,6/230 (3%)
Follow-up,MDMA,1,Sleep disorder,4,82,65,796,65/82 (80%)
Follow-up,MDMA,2,Fatigue,4,82,55,671,55/82 (67%)
Follow-up,MDMA,3,Depressed mood,1,8,4,500,4/8 (50%)
Follow-up,MDMA,4,Depression,3,67,28,422,28/67 (42%)
Follow-up,MDMA,5,Anxiety,4,82,34,415,34/82 (42%)
Follow-up,MDMA,6,Muscle tension,2,31,11,353,11/31 (35%)
Follow-up,MDMA,7,Headache,4,82,28,340,28/82 (34%)
Follow-up,MDMA,8,Irritability,3,39,13,333,13/39 (33%)
Follow-up,MDMA,9,Decreased concentration,4,75,22,292,22/75 (29%)
Follow-up,MDMA,10,Lack of appetite,4,82,21,261,21/82 (26%)
Follow-up,PSILOCYBIN,1,Headache,1,160,60,375,60/160 (38%)
Follow-up,PSILOCYBIN,2,Fatigue,1,160,13,81,13/160 (8%)
Follow-up,PSILOCYBIN,3,Anxiety,1,160,11,69,11/160 (7%)
Follow-up,PSILOCYBIN,4,Abnormal dreams,1,160,10,62,10/160 (6%)
Follow-up,PSILOCYBIN,5,Panic reaction,1,160,9,56,9/160 (6%)
Follow-up,PSILOCYBIN,6,Depression,1,160,8,50,8/160 (5%)
Follow-up,PSILOCYBIN,7,Abdominal pain,1,160,7,44,7/160 (4%)
Follow-up,PSILOCYBIN,8,Nasopharyngitis,1,160,7,44,7/160 (4%)
Follow-up,PSILOCYBIN,9,Physical pain,1,160,7,44,7/160 (4%)
Follow-up,PSILOCYBIN,10,Nausea,1,160,6,38,6/160 (4%)
Overall,LSD,1,Adhd_exacerbation,1,40,1,25,1/40 (2%)
Overall,LSD,2,Anxiety_worsening,1,39,1,25,1/39 (2%)
Overall,LSD,3,Depression,1,39,1,25,1/39 (2%)
Overall,LSD,4,Depression_worsening,1,39,1,25,1/39 (2%)
Overall,LSD,5,Feeling_intoxicated,1,79,2,25,2/79 (2%)
Session,AYAHUASCA,1,Nausea,2,23,14,609,14/23 (61%)
Session,AYAHUASCA,2,Restlessness,1,14,7,500,7/14 (50%)
Session,AYAHUASCA,3,Vomiting,2,23,11,478,11/23 (48%)
Session,AYAHUASCA,4,Hypertension,1,9,4,444,4/9 (44%)
Session,AYAHUASCA,5,Anxiety,2,23,8,348,8/23 (35%)
Session,AYAHUASCA,6,Headache,2,23,8,348,8/23 (35%)
Session,AYAHUASCA,7,Confusion,1,9,2,222,2/9 (22%)
Session,AYAHUASCA,8,Drowsiness,1,9,2,222,2/9 (22%)
Session,AYAHUASCA,9,Tachycardia,1,9,2,222,2/9 (22%)
Session,AYAHUASCA,10,Diarrhea,1,9,1,111,1/9 (11%)
Session,LSD,1,Illusions,1,11,8,727,8/11 (73%)
Session,LSD,2,Time perception altered,1,11,6,545,6/11 (55%)
Session,LSD,3,Illusion,1,159,84,528,84/159 (53%)
Session,LSD,4,Impaired gait,3,77,28,364,28/77 (36%)
Session,LSD,5,Nausea,2,201,58,289,58/201 (29%)
Session,LSD,6,Headache,4,241,56,232,56/241 (23%)
Session,LSD,7,Hallucination visual,1,159,30,189,30/159 (19%)
Session,LSD,8,Affect liability,1,11,2,182,2/11 (18%)
Session,LSD,9,Derealization,1,11,2,182,2/11 (18%)
Session,LSD,10,Chills,1,29,5,172,5/29 (17%)
Session,MDMA,1,Muscle tension,6,113,57,505,57/113 (50%)
Session,MDMA,2,Feeling cold,1,8,4,500,4/8 (50%)
Session,MDMA,3,Sleep disorder,8,203,99,490,99/203 (49%)
Session,MDMA,4,Autonomic,4,114,55,483,55/114 (48%)
Session,MDMA,5,Headache,8,173,80,463,80/173 (46%)
Session,MDMA,6,Lack of appetite,6,150,69,461,69/150 (46%)
Session,MDMA,7,Suicidality,2,99,40,404,40/99 (40%)
Session,MDMA,8,Anxiety,10,239,94,393,94/239 (39%)
Session,MDMA,9,Dizziness,5,131,50,378,50/131 (38%)
Session,MDMA,10,Fatigue,8,169,60,357,60/169 (36%)
Session,PSILOCYBIN,1,Mood altered/lability,1,160,99,619,99/160 (62%)
Session,PSILOCYBIN,2,Vivid imagination,1,160,89,556,89/160 (56%)
Session,PSILOCYBIN,3,Hypertension,4,252,115,456,115/252 (46%)
Session,PSILOCYBIN,4,Headache,9,530,239,451,239/530 (45%)
Session,PSILOCYBIN,5,Illusion,3,258,101,391,101/258 (39%)
Session,PSILOCYBIN,6,Nausea,8,504,130,258,130/504 (26%)
Session,PSILOCYBIN,7,Dissociation,1,160,35,219,35/160 (22%)
Session,PSILOCYBIN,8,Pseudohallucination,1,160,33,206,33/160 (21%)
Session,PSILOCYBIN,9,Anxiety,5,421,66,157,66/421 (16%)
Session,PSILOCYBIN,10,Temperature perception disturbances,2,186,26,140,26/186 (14%)
