ae_term,molecule,k_total,QM,QMp,p_overall,stars
Balance_disorder,LSD,4,Inf,Inf,0.994916718778237,
Fatigue,LSD,4,Inf,Inf,0.9049066972617128,
Mydriasis,LSD,4,Inf,Inf,0.994916718778237,
Tremor,LSD,4,Inf,Inf,0.9775821636306836,
Vomiting,LSD,4,Inf,Inf,0.994916718778237,
altered state of consciousness,LSD,4,Inf,Inf,0.994916718778237,
anxiety,LSD,4,Inf,Inf,0.6044195449548717,
anxiety,MDMA,4,Inf,Inf,0.8755739594103965,
attention disturbance,LSD,6,Inf,Inf,0.06714010896829299,
depressed mood,LSD,4,Inf,Inf,0.6379692608720713,
dizziness,LSD,5,Inf,Inf,0.6153856281086403,
emotional distress,LSD,4,Inf,Inf,0.6073550331696943,
euphoric mood,LSD,4,Inf,Inf,0.994916718778237,
fatigue,MDMA,4,Inf,Inf,0.508944049212327,
feeling abnormal,LSD,4,Inf,Inf,0.994916718778237,
hallucination visual,LSD,4,Inf,Inf,0.7127053761499513,
headache,LSD,6,Inf,Inf,0.3068090095493493,
headache,MDMA,4,Inf,Inf,0.879723522866588,
hypertension,LSD,4,Inf,Inf,0.994916718778237,
illusion,LSD,4,Inf,Inf,0.6479879376056239,
irritability,MDMA,3,Inf,Inf,0.4583625078571567,
lack of appetite,LSD,4,Inf,Inf,0.44902053755482163,
lack of appetite,MDMA,4,Inf,Inf,0.2897170241045439,
muscle tension,MDMA,3,Inf,Inf,0.9539325529403482,
nausea,LSD,5,Inf,Inf,0.5319102784817853,
paresthesia,LSD,4,Inf,Inf,0.994916718778237,
perspiration,LSD,4,Inf,Inf,0.994916718778237,
pseudohallucination,LSD,4,Inf,Inf,0.994916718778237,
sleep disorder,MDMA,8,Inf,Inf,0.8687226046398269,
temperature perception disturbances,LSD,4,Inf,Inf,0.8085434819748505,
thinking abnormal,LSD,4,Inf,Inf,0.9775821636306836,
