molecule,ae_term,model,term,estimate,ci_low,ci_high,z,pval,I2,tau2,k,QE,QM,QMp,significance
LSD,Balance_disorder,linear,dose_diff,-9.564996728822301e-5,NA,NA,NA,0.994916718778237,NA,NA,4,NA,NA,NA,
LSD,Fatigue,linear,dose_diff,0.0015314231200029302,NA,NA,NA,0.9049066972617128,NA,NA,4,NA,NA,NA,
LSD,Mydriasis,linear,dose_diff,-9.564996728822301e-5,NA,NA,NA,0.994916718778237,NA,NA,4,NA,NA,NA,
LSD,Tremor,linear,dose_diff,4.216796352312345e-4,NA,NA,NA,0.9775821636306836,NA,NA,4,NA,NA,NA,
LSD,Vomiting,linear,dose_diff,-9.564996728822301e-5,NA,NA,NA,0.994916718778237,NA,NA,4,NA,NA,NA,
LSD,altered state of consciousness,linear,dose_diff,-9.564996728822301e-5,NA,NA,NA,0.994916718778237,NA,NA,4,NA,NA,NA,
LSD,anxiety,linear,dose_diff,-0.006206932852243227,NA,NA,NA,0.6044195449548717,NA,NA,4,NA,NA,NA,
MDMA,anxiety,linear,dose_diff,-0.004589987633008687,NA,NA,NA,0.8755739594103965,NA,NA,4,NA,NA,NA,
LSD,attention disturbance,linear,dose_diff,-0.017927378148636416,NA,NA,NA,0.06714010896829299,NA,NA,6,NA,NA,NA,
LSD,depressed mood,linear,dose_diff,0.005735648702612105,NA,NA,NA,0.6379692608720713,NA,NA,4,NA,NA,NA,
LSD,dizziness,linear,dose_diff,-0.005596485489350033,NA,NA,NA,0.6153856281086403,NA,NA,5,NA,NA,NA,
LSD,emotional distress,linear,dose_diff,0.006833620686520388,NA,NA,NA,0.6073550331696943,NA,NA,4,NA,NA,NA,
LSD,euphoric mood,linear,dose_diff,-9.564996728822301e-5,NA,NA,NA,0.994916718778237,NA,NA,4,NA,NA,NA,
MDMA,fatigue,linear,dose_diff,-0.023126210394793886,NA,NA,NA,0.508944049212327,NA,NA,4,NA,NA,NA,
LSD,feeling abnormal,linear,dose_diff,-9.564996728822301e-5,NA,NA,NA,0.994916718778237,NA,NA,4,NA,NA,NA,
LSD,hallucination visual,linear,dose_diff,-0.005235706113263997,NA,NA,NA,0.7127053761499513,NA,NA,4,NA,NA,NA,
LSD,headache,linear,dose_diff,-0.008709623045529078,NA,NA,NA,0.3068090095493493,NA,NA,6,NA,NA,NA,
MDMA,headache,linear,dose_diff,0.003851276511262842,NA,NA,NA,0.879723522866588,NA,NA,4,NA,NA,NA,
LSD,hypertension,linear,dose_diff,-9.564996728822301e-5,NA,NA,NA,0.994916718778237,NA,NA,4,NA,NA,NA,
LSD,illusion,linear,dose_diff,-0.006378885244349277,NA,NA,NA,0.6479879376056239,NA,NA,4,NA,NA,NA,
MDMA,irritability,linear,dose_diff,0.021051506670961565,NA,NA,NA,0.4583625078571567,NA,NA,3,NA,NA,NA,
LSD,lack of appetite,linear,dose_diff,0.009767173625227865,NA,NA,NA,0.44902053755482163,NA,NA,4,NA,NA,NA,
MDMA,lack of appetite,linear,dose_diff,0.031444459030327235,NA,NA,NA,0.2897170241045439,NA,NA,4,NA,NA,NA,
MDMA,muscle tension,linear,dose_diff,0.001631617944698448,NA,NA,NA,0.9539325529403482,NA,NA,3,NA,NA,NA,
LSD,nausea,linear,dose_diff,0.0059814312570347136,NA,NA,NA,0.5319102784817853,NA,NA,5,NA,NA,NA,
LSD,paresthesia,linear,dose_diff,-9.564996728822301e-5,NA,NA,NA,0.994916718778237,NA,NA,4,NA,NA,NA,
LSD,perspiration,linear,dose_diff,-9.564996728822301e-5,NA,NA,NA,0.994916718778237,NA,NA,4,NA,NA,NA,
LSD,pseudohallucination,linear,dose_diff,-9.564996728822301e-5,NA,NA,NA,0.994916718778237,NA,NA,4,NA,NA,NA,
MDMA,sleep disorder,linear,dose_diff,-0.003282049507283377,NA,NA,NA,0.8687226046398269,NA,NA,8,NA,NA,NA,
LSD,temperature perception disturbances,linear,dose_diff,-0.00355600234938777,NA,NA,NA,0.8085434819748505,NA,NA,4,NA,NA,NA,
LSD,thinking abnormal,linear,dose_diff,4.216796352312345e-4,NA,NA,NA,0.9775821636306836,NA,NA,4,NA,NA,NA,
LSD,attention disturbance,spline_df3,dose_diff,NA,NA,NA,NA,0.14966930573872286,NA,NA,6,NA,NA,NA,
LSD,dizziness,spline_df3,dose_diff,NA,NA,NA,NA,0.9115367965475107,NA,NA,5,NA,NA,NA,
LSD,headache,spline_df3,dose_diff,NA,NA,NA,NA,0.628833331466185,NA,NA,6,NA,NA,NA,
LSD,nausea,spline_df3,dose_diff,NA,NA,NA,NA,0.8848004067526257,NA,NA,5,NA,NA,NA,
