Molecule,Adverse event,Model,Term,<ce><b2> (log-OR),95% CI (log-OR),OR [95% CI],z,p,Stars,k,I<c2><b2> (%),<cf><84><c2><b2>,QE,QM,QMp
LSD,Balance_disorder,linear,dose_diff,-0.001,,,NA,0.947,,4,,,NA,NA,NA
LSD,Fatigue,linear,dose_diff,-0.001,,,NA,0.849,,4,,,NA,NA,NA
LSD,Mydriasis,linear,dose_diff,0.001,,,NA,0.868,,4,,,NA,NA,NA
LSD,Tremor,linear,dose_diff,0.011,,,NA,0.083,,4,,,NA,NA,NA
LSD,Vomiting,linear,dose_diff,0.010,,,NA,0.163,,4,,,NA,NA,NA
PSILOCYBIN,abdominal pain,linear,dose_diff,0.047,,,NA,0.333,,6,,,NA,NA,NA
LSD,altered state of consciousness,linear,dose_diff,0.002,,,NA,0.866,,4,,,NA,NA,NA
LSD,anxiety,linear,dose_diff,0.004,,,NA,0.535,,5,,,NA,NA,NA
MDMA,anxiety,linear,dose_diff,0.012,,,NA,0.383,,14,,,NA,NA,NA
PSILOCYBIN,anxiety,linear,dose_diff,0.055,,,NA,0.414,,9,,,NA,NA,NA
LSD,attention disturbance,linear,dose_diff,-0.010,,,NA,0.363,,5,,,NA,NA,NA
MDMA,autonomic,linear,dose_diff,0.031,,,NA,0.436,,5,,,NA,NA,NA
PSILOCYBIN,back pain,linear,dose_diff,-0.016,,,NA,0.879,,3,,,NA,NA,NA
MDMA,decreased concentration,linear,dose_diff,-0.045,,,NA,0.375,,4,,,NA,NA,NA
LSD,depressed mood,linear,dose_diff,0.008,,,NA,0.295,,4,,,NA,NA,NA
MDMA,depression,linear,dose_diff,-0.053,,,NA,0.389,,7,,,NA,NA,NA
PSILOCYBIN,depression,linear,dose_diff,0.069,,,NA,0.071,,3,,,NA,NA,NA
PSILOCYBIN,diarrhea,linear,dose_diff,-0.058,,,NA,0.689,,3,,,NA,NA,NA
MDMA,dissociation,linear,dose_diff,-0.471,,,NA,0.174,,3,,,NA,NA,NA
LSD,dizziness,linear,dose_diff,0.003,,,NA,0.529,,6,,,NA,NA,NA
MDMA,dizziness,linear,dose_diff,0.059,,,NA,0.092,,6,,,NA,NA,NA
