ae_term,molecule,k_total,QM,QMp,p_overall,stars
Balance_disorder,LSD,4,Inf,Inf,0.9468208753181986,
Fatigue,LSD,4,Inf,Inf,0.8494898149390382,
Mydriasis,LSD,4,Inf,Inf,0.867676276532408,
Tremor,LSD,4,Inf,Inf,0.08253398904018246,
Vomiting,LSD,4,Inf,Inf,0.1630912094073479,
abdominal pain,PSILOCYBIN,6,Inf,Inf,0.2315560653356105,
altered state of consciousness,LSD,4,Inf,Inf,0.8656190699691487,
anxiety,LSD,6,Inf,Inf,0.4400855941409537,
anxiety,MDMA,15,Inf,Inf,0.30727176679977486,
anxiety,PSILOCYBIN,9,Inf,Inf,0.035101540808016925,*
attention disturbance,LSD,5,Inf,Inf,0.2565216920816431,
autonomic,MDMA,5,Inf,Inf,0.43602028782276925,
back pain,PSILOCYBIN,3,Inf,Inf,0.8786952817490256,
decreased concentration,MDMA,5,Inf,Inf,0.17676201214661116,
depressed mood,LSD,4,Inf,Inf,0.2946135036438222,
depression,MDMA,7,Inf,Inf,0.026696257437091857,*
depression,PSILOCYBIN,3,Inf,Inf,0.07090271340190313,
diarrhea,PSILOCYBIN,3,Inf,Inf,0.6894731984580431,
dissociation,MDMA,3,Inf,Inf,0.17370645609014906,
dizziness,LSD,6,Inf,Inf,0.4798953154864333,
dizziness,MDMA,7,Inf,Inf,0.0249708465571359,*
dizziness,PSILOCYBIN,7,Inf,Inf,0.24845728262510683,
emotional distress,LSD,5,Inf,Inf,0.23949742384885153,
euphoric mood,LSD,4,Inf,Inf,0.5053380243868221,
fatigue,LSD,3,Inf,Inf,0.25215800784474485,
fatigue,MDMA,12,Inf,Inf,0.264040686864822,
fatigue,PSILOCYBIN,8,Inf,Inf,0.040469990434346396,*
feeling abnormal,LSD,5,Inf,Inf,0.5798837607115245,
hallucination visual,LSD,4,Inf,Inf,0.8296271278277486,
headache,LSD,8,Inf,Inf,0.5210363754755067,
headache,MDMA,12,Inf,Inf,0.24606581526698276,
headache,PSILOCYBIN,11,Inf,Inf,0.014381666159816522,*
hypertension,LSD,4,Inf,Inf,0.9581252720168464,
hypertension,PSILOCYBIN,6,Inf,Inf,0.09992200623562258,
illusion,LSD,4,Inf,Inf,0.04935938119455929,*
illusion,PSILOCYBIN,4,Inf,Inf,0.3392565502354511,
impaired gait,LSD,4,Inf,Inf,0.2769808258839191,
irritability,MDMA,6,Inf,Inf,0.2783118220107107,
jaw tension,MDMA,13,Inf,Inf,0.015406739462378664,*
lack of appetite,LSD,5,Inf,Inf,0.7685145353113931,
lack of appetite,MDMA,9,Inf,Inf,0.20924436271330282,
migraine,PSILOCYBIN,3,Inf,Inf,0.4374613826768598,
muscle tension,MDMA,9,Inf,Inf,0.22896441575879153,
myalgia,PSILOCYBIN,3,Inf,Inf,0.3812986354353962,
nausea,LSD,4,Inf,Inf,0.015124797899462875,*
nausea,MDMA,9,Inf,Inf,0.1300751824202644,
nausea,PSILOCYBIN,10,Inf,Inf,0.035835959666573186,*
ophthalmological,MDMA,4,Inf,Inf,0.09292282379359772,
pain,MDMA,7,Inf,Inf,0.07851358306772727,
palpitations,PSILOCYBIN,4,Inf,Inf,0.31968503049326125,
panic reaction,PSILOCYBIN,4,Inf,Inf,0.6112356095160365,
paresthesia,LSD,4,Inf,Inf,0.10786178677600446,
paresthesia,PSILOCYBIN,4,Inf,Inf,0.46476653433406206,
perspiration,LSD,5,Inf,Inf,0.3670354069150666,
perspiration,MDMA,7,Inf,Inf,0.04287444289369839,*
physical pain,PSILOCYBIN,5,Inf,Inf,0.8250479269098568,
pseudohallucination,LSD,4,Inf,Inf,0.41593948308854983,
restlessness,MDMA,10,Inf,Inf,0.30348413570771643,
restlessness,PSILOCYBIN,4,Inf,Inf,0.6089089006642616,
rumination,MDMA,7,Inf,Inf,0.596592188247799,
sleep disorder,LSD,3,Inf,Inf,0.2512376001950749,
sleep disorder,MDMA,15,Inf,Inf,0.11427108906271902,
sleep disorder,PSILOCYBIN,5,Inf,Inf,0.46471002367934344,
suicidal ideation,PSILOCYBIN,8,Inf,Inf,0.3653778371937012,
tachycardia,PSILOCYBIN,3,Inf,Inf,0.07368809934299747,
temperature perception disturbances,LSD,5,Inf,Inf,0.4791071896957207,
temperature perception disturbances,PSILOCYBIN,3,Inf,Inf,0.8098488899916578,
thinking abnormal,LSD,5,Inf,Inf,0.24422722033709457,
weakness,MDMA,4,Inf,Inf,0.480647587763708,
xerostomia,MDMA,4,Inf,Inf,0.4638890668833053,
