molecule,ae_term,model,term,estimate,ci_low,ci_high,z,pval,I2,tau2,k,QE,QM,QMp,significance
LSD,Balance_disorder,linear,dose_diff,-5.029716751488908e-4,NA,NA,NA,0.9468208753181986,NA,NA,4,NA,NA,NA,
LSD,Fatigue,linear,dose_diff,-0.0012134204108148327,NA,NA,NA,0.8494898149390382,NA,NA,4,NA,NA,NA,
LSD,Mydriasis,linear,dose_diff,0.0012091567632698658,NA,NA,NA,0.867676276532408,NA,NA,4,NA,NA,NA,
LSD,Tremor,linear,dose_diff,0.01133372244842837,NA,NA,NA,0.08253398904018246,NA,NA,4,NA,NA,NA,
LSD,Vomiting,linear,dose_diff,0.009699863762139315,NA,NA,NA,0.1630912094073479,NA,NA,4,NA,NA,NA,
PSILOCYBIN,abdominal pain,linear,dose_diff,0.0469164890615471,NA,NA,NA,0.33330964393286844,NA,NA,6,NA,NA,NA,
LSD,altered state of consciousness,linear,dose_diff,0.0019516376690798935,NA,NA,NA,0.8656190699691487,NA,NA,4,NA,NA,NA,
LSD,anxiety,linear,dose_diff,0.004191147549380894,NA,NA,NA,0.4400855941409537,NA,NA,6,NA,NA,NA,
MDMA,anxiety,linear,dose_diff,0.00811135137407279,NA,NA,NA,0.5210124479609226,NA,NA,15,NA,NA,NA,
PSILOCYBIN,anxiety,linear,dose_diff,0.05492884753717596,NA,NA,NA,0.41372361980138705,NA,NA,9,NA,NA,NA,
LSD,attention disturbance,linear,dose_diff,-0.008968253622484148,NA,NA,NA,0.34826372899731095,NA,NA,5,NA,NA,NA,
MDMA,autonomic,linear,dose_diff,0.03063016900758162,NA,NA,NA,0.43602028782276925,NA,NA,5,NA,NA,NA,
PSILOCYBIN,back pain,linear,dose_diff,-0.01638092247624197,NA,NA,NA,0.8786952817490256,NA,NA,3,NA,NA,NA,
MDMA,decreased concentration,linear,dose_diff,-0.03828856598389694,NA,NA,NA,0.17676201214661116,NA,NA,5,NA,NA,NA,
LSD,depressed mood,linear,dose_diff,0.008085441871036951,NA,NA,NA,0.2946135036438222,NA,NA,4,NA,NA,NA,
MDMA,depression,linear,dose_diff,-0.05293147763924324,NA,NA,NA,0.3892113521454673,NA,NA,7,NA,NA,NA,
PSILOCYBIN,depression,linear,dose_diff,0.06866617792577215,NA,NA,NA,0.07090271340190313,NA,NA,3,NA,NA,NA,
PSILOCYBIN,diarrhea,linear,dose_diff,-0.05761065268771913,NA,NA,NA,0.6894731984580431,NA,NA,3,NA,NA,NA,
MDMA,dissociation,linear,dose_diff,-0.4712646151135898,NA,NA,NA,0.17370645609014906,NA,NA,3,NA,NA,NA,
LSD,dizziness,linear,dose_diff,0.004255814214137353,NA,NA,NA,0.4798953154864333,NA,NA,6,NA,NA,NA,
MDMA,dizziness,linear,dose_diff,0.05457735021233201,NA,NA,NA,0.0249708465571359,NA,NA,7,NA,NA,NA,*
PSILOCYBIN,dizziness,linear,dose_diff,0.035347998218880364,NA,NA,NA,0.24845728262510683,NA,NA,7,NA,NA,NA,
LSD,emotional distress,linear,dose_diff,0.007608774452333771,NA,NA,NA,0.23949742384885153,NA,NA,5,NA,NA,NA,
LSD,euphoric mood,linear,dose_diff,0.004319421403153754,NA,NA,NA,0.5053380243868221,NA,NA,4,NA,NA,NA,
LSD,fatigue,linear,dose_diff,0.021313968233736946,NA,NA,NA,0.25215800784474485,NA,NA,3,NA,NA,NA,
MDMA,fatigue,linear,dose_diff,0.013466321465777538,NA,NA,NA,0.264040686864822,NA,NA,12,NA,NA,NA,
PSILOCYBIN,fatigue,linear,dose_diff,0.020276848506185146,NA,NA,NA,0.6921157899281749,NA,NA,8,NA,NA,NA,
LSD,feeling abnormal,linear,dose_diff,0.005606800425489113,NA,NA,NA,0.5798837607115245,NA,NA,5,NA,NA,NA,
LSD,hallucination visual,linear,dose_diff,-0.0011918546802502888,NA,NA,NA,0.8296271278277486,NA,NA,4,NA,NA,NA,
LSD,headache,linear,dose_diff,0.00390147876260294,NA,NA,NA,0.5210363754755067,NA,NA,8,NA,NA,NA,
MDMA,headache,linear,dose_diff,0.017039293466758476,NA,NA,NA,0.24606581526698276,NA,NA,12,NA,NA,NA,
PSILOCYBIN,headache,linear,dose_diff,0.05912587977379657,NA,NA,NA,0.014381666159816522,NA,NA,11,NA,NA,NA,*
LSD,hypertension,linear,dose_diff,3.165435747054473e-4,NA,NA,NA,0.9581252720168464,NA,NA,4,NA,NA,NA,
PSILOCYBIN,hypertension,linear,dose_diff,-0.023769838409469692,NA,NA,NA,0.715504233849266,NA,NA,6,NA,NA,NA,
LSD,illusion,linear,dose_diff,0.010236782358698585,NA,NA,NA,0.04935938119455929,NA,NA,4,NA,NA,NA,*
PSILOCYBIN,illusion,linear,dose_diff,0.025051360101906592,NA,NA,NA,0.47797309444620095,NA,NA,4,NA,NA,NA,
LSD,impaired gait,linear,dose_diff,0.0034777998497939853,NA,NA,NA,0.2769808258839191,NA,NA,4,NA,NA,NA,
MDMA,irritability,linear,dose_diff,0.006107778490216105,NA,NA,NA,0.8521170555354561,NA,NA,6,NA,NA,NA,
MDMA,jaw tension,linear,dose_diff,0.029300492369012623,NA,NA,NA,0.015406739462378664,NA,NA,13,NA,NA,NA,*
LSD,lack of appetite,linear,dose_diff,0.002072877514149022,NA,NA,NA,0.7685145353113931,NA,NA,5,NA,NA,NA,
MDMA,lack of appetite,linear,dose_diff,0.02642578678683067,NA,NA,NA,0.20924436271330282,NA,NA,9,NA,NA,NA,
PSILOCYBIN,migraine,linear,dose_diff,-0.09397056994905177,NA,NA,NA,0.4374613826768598,NA,NA,3,NA,NA,NA,
MDMA,muscle tension,linear,dose_diff,0.020254401101566046,NA,NA,NA,0.22896441575879153,NA,NA,9,NA,NA,NA,
PSILOCYBIN,myalgia,linear,dose_diff,-0.061626386278590774,NA,NA,NA,0.3812986354353962,NA,NA,3,NA,NA,NA,
LSD,nausea,linear,dose_diff,0.013096266854241315,NA,NA,NA,0.015124797899462875,NA,NA,4,NA,NA,NA,*
MDMA,nausea,linear,dose_diff,0.02203850123167431,NA,NA,NA,0.1300751824202644,NA,NA,9,NA,NA,NA,
PSILOCYBIN,nausea,linear,dose_diff,0.05325589514563789,NA,NA,NA,0.035835959666573186,NA,NA,10,NA,NA,NA,*
MDMA,ophthalmological,linear,dose_diff,-0.00925324624913205,NA,NA,NA,0.9169111394020392,NA,NA,4,NA,NA,NA,
MDMA,pain,linear,dose_diff,0.01263569505074081,NA,NA,NA,0.4577028826705383,NA,NA,7,NA,NA,NA,
PSILOCYBIN,palpitations,linear,dose_diff,0.04007897305028693,NA,NA,NA,0.31968503049326125,NA,NA,4,NA,NA,NA,
PSILOCYBIN,panic reaction,linear,dose_diff,0.08305101487069343,NA,NA,NA,0.6265424848075393,NA,NA,4,NA,NA,NA,
LSD,paresthesia,linear,dose_diff,0.009615670222188615,NA,NA,NA,0.10786178677600446,NA,NA,4,NA,NA,NA,
PSILOCYBIN,paresthesia,linear,dose_diff,0.014151455404114194,NA,NA,NA,0.8588981630999752,NA,NA,4,NA,NA,NA,
LSD,perspiration,linear,dose_diff,0.004584728072606602,NA,NA,NA,0.45715203283977235,NA,NA,5,NA,NA,NA,
MDMA,perspiration,linear,dose_diff,0.032495726671411394,NA,NA,NA,0.13117498556771032,NA,NA,7,NA,NA,NA,
PSILOCYBIN,physical pain,linear,dose_diff,0.007561559410889282,NA,NA,NA,0.8250479269098568,NA,NA,5,NA,NA,NA,
LSD,pseudohallucination,linear,dose_diff,0.005629080131223173,NA,NA,NA,0.41593948308854983,NA,NA,4,NA,NA,NA,
MDMA,restlessness,linear,dose_diff,0.014627160679190124,NA,NA,NA,0.30348413570771643,NA,NA,10,NA,NA,NA,
PSILOCYBIN,restlessness,linear,dose_diff,0.018092034135381,NA,NA,NA,0.6089089006642616,NA,NA,4,NA,NA,NA,
MDMA,rumination,linear,dose_diff,0.002190836709834623,NA,NA,NA,0.9431987258056027,NA,NA,7,NA,NA,NA,
LSD,sleep disorder,linear,dose_diff,0.011052428095520326,NA,NA,NA,0.2512376001950749,NA,NA,3,NA,NA,NA,
