ae_term,molecule,k_total,QM,QMp,p_overall,stars
Balance_disorder,LSD,4,0.004448832859955418,0.9468208753181989,0.9468208753181989,
Fatigue,LSD,4,0.03601243508677145,0.8494898149390381,0.8494898149390381,
Mydriasis,LSD,4,0.027759166629954587,0.8676762765324081,0.8676762765324081,
Pseudo_hallucination,LSD,4,0.6617594345694989,0.4159394830885501,0.4159394830885501,
Tremor,LSD,4,3.0142821643085056,0.0825339890401824,0.0825339890401824,
Vomiting,LSD,4,1.945327858198897,0.1630912094073479,0.1630912094073479,
abdominal pain,Psilocybin,4,0.9039441675455557,0.3417263317563765,0.3417263317563765,
altered state of consciousness,LSD,4,0.028637357190452455,0.8656190699691487,0.8656190699691487,
anxiety,LSD,7,0.8437326011136765,0.3583314225145968,0.3583314225145968,
anxiety,MDMA,13,0.009198266629302641,0.24156712763378926,0.24156712763378926,
anxiety,Psilocybin,7,0.1553915293519616,0.5907397082669824,0.5907397082669824,
attention disturbance,LSD,5,0.8282308569409955,0.3627845944882105,0.3627845944882105,
autonomic,MDMA,5,1.1589657774949822,0.07190931391854519,0.07190931391854519,
back pain,Psilocybin,3,0.03006760656001099,0.8623369195826021,0.8623369195826021,
decreased concentration,MDMA,4,0.4122986603995665,0.5208050959412636,0.5208050959412636,
depressed mood,LSD,4,1.0984182084748468,0.2946135036438221,0.2946135036438221,
depression,MDMA,6,0.024789186329655384,0.15936538494312147,0.15936538494312147,
diarrhea,Psilocybin,3,0.024629138432521666,0.8752947091195504,0.8752947091195504,
dissociation,MDMA,4,0.6140325962363816,0.43327349395376935,0.43327349395376935,
dizziness,LSD,6,0.3966296774148502,0.5288349849811523,0.5288349849811523,
dizziness,MDMA,7,3.8862058799165276,0.04868428913769845,0.04868428913769845,*
dizziness,Psilocybin,4,0.4739148826855279,0.4911916312101792,0.4911916312101792,
emotional distress,LSD,5,0.0037216945924359967,0.25621069193512325,0.25621069193512325,
euphoric mood,LSD,4,0.4437083034676602,0.505338024386821,0.505338024386821,
fatigue,MDMA,11,2.8453602237457747,0.09163805341376484,0.09163805341376484,
fatigue,Psilocybin,5,0.2861714620077487,2.5387676153925757e-6,2.5387676153925757e-6,***
feeling abnormal,LSD,5,2.4479897487121174,0.11767548511259307,0.11767548511259307,
hallucination visual,LSD,4,0.04630235266807787,0.8296271278277487,0.8296271278277487,
headache,LSD,8,6.336483692152389,0.010399569774485976,0.010399569774485976,*
headache,MDMA,11,4.290860084791336,4.951859324900215e-5,4.951859324900215e-5,***
headache,Psilocybin,9,0.03794261458751436,0.20741712544518504,0.20741712544518504,
hypertension,LSD,4,0.0027569120102272035,0.9581252720168465,0.9581252720168465,
hypertension,Psilocybin,4,8.253702342920107,0.0040668969129246686,0.0040668969129246686,**
illusion,LSD,4,3.8630887535480003,0.04935938119455931,0.04935938119455931,*
impaired gait,LSD,3,0.9272853708264691,0.33556931465344747,0.33556931465344747,
irritability,MDMA,5,0.3332191625580732,0.5270541480760363,0.5270541480760363,
jaw tension,MDMA,10,1.8267687421668157,0.17650968279970733,0.17650968279970733,
lack of appetite,LSD,4,0.34238238718838115,0.5584572803462388,0.5584572803462388,
lack of appetite,MDMA,8,3.4354574420356894,0.06381091187516306,0.06381091187516306,
migraine,Psilocybin,3,0.004998377095967639,0.943637156341393,0.943637156341393,
muscle tension,MDMA,7,1.1315673865382263,0.2874412593238608,0.2874412593238608,
myalgia,Psilocybin,3,0.7961172969808777,0.37225677515445543,0.37225677515445543,
nausea,LSD,5,8.704446638896622,0.003174347621798381,0.003174347621798381,**
nausea,MDMA,9,1.6583684220392083,0.0620455781423773,0.0620455781423773,
nausea,Psilocybin,8,0.0013392955498304604,0.5368257322994116,0.5368257322994116,
ophthalmological,MDMA,4,0.005713386931099605,0.19570107697766123,0.19570107697766123,
pain,MDMA,6,0.01183952123676183,0.1294631465656309,0.1294631465656309,
paresthesia,LSD,4,2.585273339834491,0.10786178677600462,0.10786178677600462,
perspiration,LSD,5,0.34171077331530053,0.5111181119716915,0.5111181119716915,
perspiration,MDMA,6,2.604233238569799,0.07204286937813119,0.07204286937813119,
restlessness,MDMA,8,0.2833084338110619,0.5945409059876693,0.5945409059876693,
rumination,MDMA,5,0.44741142128078715,0.4989418706290114,0.4989418706290114,
sleep disorder,MDMA,12,0.06361988384303298,0.3722863899424838,0.3722863899424838,
sleep disorder,Psilocybin,4,0.14528445833559323,0.7030830557290196,0.7030830557290196,
suicidal ideation,Psilocybin,6,1.2090356242971831,0.2715231981630644,0.2715231981630644,
temperature perception disturbances,LSD,5,1.1142840066767714,0.2902970549347227,0.2902970549347227,
thinking abnormal,LSD,5,1.0776696283485758,0.29921946153638534,0.29921946153638534,
weakness,MDMA,3,0.17405163736302476,0.6765358089875609,0.6765358089875609,
xerostomia,MDMA,4,0.05395629820591723,0.8163167006030133,0.8163167006030133,
